"value","logLik_REML","delta_logLik"
0.312829780363149,-242.52221685272,1.19822817083582
0.379864733298109,-241.962350627195,0.638361945311232
0.44689968623307,-241.617809780461,0.293821098577297
0.51393463916803,-241.423330385792,0.0993417039080668
0.580969592102991,-241.335344782406,0.0113561005215104
0.648004545037951,-241.323988681884,0
0.715039497972912,-241.368261133787,0.0442724519026285
0.782074450907872,-241.453044628635,0.129055946750526
0.849109403842832,-241.567221740497,0.243233058613356
0.916144356777793,-241.702451753352,0.378463071468076
0.983179309712753,-241.852354903634,0.52836622175019
1.05021426264771,-242.011954962281,0.687966280396921
1.11724921558267,-242.177289610611,0.853300928726867
1.18428416851763,-242.345132448268,1.02114376638352
1.2513191214526,-242.512791169561,1.18880248767664
