"value","logLik_REML","delta_logLik"
14.4814227569004,-241.561816605973,0.240192807208842
17.5845847762362,-241.46210961608,0.140485817316176
20.687746795572,-241.39153913925,0.0699153404854371
23.7909088149078,-241.346823418463,0.0251996196989808
26.8940708342436,-241.324634390414,0.0030105916498826
29.9972328535794,-241.321623798764,0
33.1003948729152,-241.334562281802,0.0129384830377717
36.203556892251,-241.360473571925,0.0388497731610187
39.3067189115868,-241.396716606179,0.0750928074151034
42.4098809309226,-241.441015079725,0.119391280960656
45.5130429502584,-241.491449579679,0.169825780914948
48.6162049695942,-241.546428111684,0.224804312920099
51.71936698893,-241.604646855546,0.283023056781872
54.8225290082658,-241.665048684812,0.343424886048126
57.9256910276016,-241.726783686634,0.405159887869587
