"package","model","component","variance","generalized_v_tilde","I2_percent"
"metafor","unstructured_only","total",2.01710018408455,0.111123796928008,94.7785666396289
"metafor","unstructured_only","effect_size",0.775372663638828,0.111123796928008,36.4328506095456
"metafor","unstructured_only","study",1.24172752044572,0.111123796928008,58.3457160300833
"metafor","spatial_only","total",2.02445521727472,0.111123796928008,94.7965494983339
"metafor","spatial_only","effect_size",0.793428772264592,0.111123796928008,37.1528642577901
"metafor","spatial_only","spatial",1.23102644501013,0.111123796928008,57.6436852405438
"metafor","combined","total",2.00378362074616,0.111123796928008,94.7456897640364
"metafor","combined","effect_size",0.775349902740361,0.111123796928008,36.6611746812556
"metafor","combined","study",1.16654926669368,0.111123796928008,55.1584082094982
"metafor","combined","spatial",0.0618844513121274,0.111123796928008,2.9261068732826
