"model","label","kernel","n_effects","n_studies","n_sites","distance_units","correlation","start_effect_variance","start_study_variance","start_spatial_variance","start_rho_km","fixed_spatial_variance","fixed_rho_km","pooled_mean","ci_lb","ci_ub","iid_effect_variance","study_variance","spatial_variance","rho_km","logLik_REML","AIC_REML","convergence_status","elapsed_seconds","warnings","delta_logLik_from_best","delta_AIC_from_best"
"combined","short_312_km","SPGAU",2355,390,380,"km","exp(-d^2/rho^2)",0.751,1.14,0.08,312,NA,NA,-0.370506451606003,-0.505981396637157,-0.235031506574848,0.751543364965159,1.037291130237,0.0840258610074072,306.473452626576,-3967.90277363561,7945.80554727121,"completed_no_explicit_optimizer_status",1209,"",0,0
"combined","intermediate_800_km","SPGAU",2355,390,380,"km","exp(-d^2/rho^2)",0.751,1.16,0.06,800,NA,NA,-0.370506472887609,-0.505981185438016,-0.235031760337203,0.751543081138135,1.03729294545426,0.084022904943474,306.478879657939,-3967.9027736371,7945.8055472742,"completed_no_explicit_optimizer_status",987,"",1.49429979501292e-09,2.98859959002584e-09
"combined","long_3000_km","SPGAU",2355,390,380,"km","exp(-d^2/rho^2)",0.751,1.21,0.04,3000,NA,NA,-0.352511031454708,-0.558673395609501,-0.146348667299915,0.751387666525067,1.10393145405681,0.0501567308842081,3673.79389244314,-3968.18818076102,7946.37636152204,"completed_no_explicit_optimizer_status",328,"",0.285407125410984,0.570814250821968
