"model","solution","component","variance","v_tilde","I2_percent"
"spatial_only","primary","iid_effect",0.763429058150553,0.110937235977794,37.6616973648266
"spatial_only","primary","spatial",1.152703943188,0.110937235977794,56.8655156574186
"spatial_only","primary","total",1.91613300133855,0.110937235977794,94.5272130222451
"combined","short_312_km","iid_effect",0.751543364965159,0.110937235977794,37.8840748635296
"combined","short_312_km","study",1.037291130237,0.110937235977794,52.2881535052813
"combined","short_312_km","spatial",0.0840258610074072,0.110937235977794,4.23560656280256
"combined","short_312_km","total",1.87286035620957,0.110937235977794,94.4078349316135
