"site_key","latitude","longitude","site_id"
"-30.91666700_146.50000000",-30.916667,146.5,"-30.91666700_146.50000000"
"-31.11666700_-64.36666700",-31.116667,-64.366667,"-31.11666700_-64.36666700"
"-31.12000000_-64.37000000",-31.12,-64.37,"-31.12000000_-64.37000000"
"-31.23333300_148.98333300",-31.233333,148.983333,"-31.23333300_148.98333300"
"-31.29000000_149.01000000",-31.29,149.01,"-31.29000000_149.01000000"
"-31.41000000_-64.46000000",-31.41,-64.46,"-31.41000000_-64.46000000"
"-31.54308300_115.69877800",-31.543083,115.698778,"-31.54308300_115.69877800"
"-32.00000000_117.00000000",-32,117,"-32.00000000_117.00000000"
"-32.42000000_148.80000000",-32.42,148.8,"-32.42000000_148.80000000"
"-32.47000000_152.40000000",-32.47,152.4,"-32.47000000_152.40000000"
"-33.00000000_150.50000000",-33,150.5,"-33.00000000_150.50000000"
"-33.25000000_-70.83333300",-33.25,-70.833333,"-33.25000000_-70.83333300"
"-33.33000000_26.52000000",-33.33,26.52,"-33.33000000_26.52000000"
"-33.33833300_18.27000000",-33.338333,18.27,"-33.33833300_18.27000000"
"-33.38333300_148.98333300",-33.383333,148.983333,"-33.38333300_148.98333300"
"-33.40000000_142.60000000",-33.4,142.6,"-33.40000000_142.60000000"
"-33.50000000_-70.80000000",-33.5,-70.8,"-33.50000000_-70.80000000"
"-33.50000000_151.00000000",-33.5,151,"-33.50000000_151.00000000"
"-33.54000000_22.15000000",-33.54,22.15,"-33.54000000_22.15000000"
"-33.59800000_150.84233330",-33.598,150.8423333,"-33.59800000_150.84233330"
"-33.61000000_150.64000000",-33.61,150.64,"-33.61000000_150.64000000"
"-33.63000000_150.45000000",-33.63,150.45,"-33.63000000_150.45000000"
"-33.76000000_151.17000000",-33.76,151.17,"-33.76000000_151.17000000"
"-33.76666700_148.85000000",-33.766667,148.85,"-33.76666700_148.85000000"
"-33.80000000_150.82000000",-33.8,150.82,"-33.80000000_150.82000000"
"-33.89769650_150.97136150",-33.8976965,150.9713615,"-33.89769650_150.97136150"
