"site_key","latitude","longitude","site_id"
"63.90000000_-145.73000000",63.9,-145.73,"63.90000000_-145.73000000"
"64.12000000_-145.36000000",64.12,-145.36,"64.12000000_-145.36000000"
"64.25000000_19.75000000",64.25,19.75,"64.25000000_19.75000000"
"64.26000000_-144.85000000",64.26,-144.85,"64.26000000_-144.85000000"
"64.46000000_-144.77000000",64.46,-144.77,"64.46000000_-144.77000000"
"64.68000000_-147.73000000",64.68,-147.73,"64.68000000_-147.73000000"
"64.90000000_-147.90000000",64.9,-147.9,"64.90000000_-147.90000000"
"65.06700000_-146.01000000",65.067,-146.01,"65.06700000_-146.01000000"
"65.17000000_-147.52000000",65.17,-147.52,"65.17000000_-147.52000000"
"65.58000000_-144.97000000",65.58,-144.97,"65.58000000_-144.97000000"
"65.59000000_-144.90000000",65.59,-144.9,"65.59000000_-144.90000000"
"65.67000000_-162.98000000",65.67,-162.98,"65.67000000_-162.98000000"
"65.69000000_-149.16000000",65.69,-149.16,"65.69000000_-149.16000000"
"65.70000000_-149.19000000",65.7,-149.19,"65.70000000_-149.19000000"
"66.12000000_-137.27000000",66.12,-137.27,"66.12000000_-137.27000000"
"67.50000000_-162.80000000",67.5,-162.8,"67.50000000_-162.80000000"
"68.58305600_-149.71694400",68.583056,-149.716944,"68.58305600_-149.71694400"
"68.74000000_161.40000000",68.74,161.4,"68.74000000_161.40000000"
"8.15000000_34.56666700",8.15,34.566667,"8.15000000_34.56666700"
