"dataset","n_effects","n_studies","n_sites","model","mean","ci_lb","ci_ub","effect_variance","study_variance","spatial_variance","rho_km","logLik_REML","AIC_REML","convergence_status","warnings","delta_AIC_within_dataset"
"all_spatially_usable",2361,393,383,"unstructured_only",-0.345388931335265,-0.470194996581505,-0.220582866089026,0.775372663638828,1.24172752044572,0,0,-4018.4894814454,8042.9789628908,"completed_no_explicit_optimizer_status",NA,0
"all_spatially_usable",2361,393,383,"spatial_only",-0.334044259593893,-0.459966263820848,-0.208122255366938,0.793428772264592,NA,1.23102644501013,0.0500339517425388,-4034.47452543364,8076.94905086729,"completed_no_explicit_optimizer_status",NA,33.9700879764896
"all_spatially_usable",2361,393,383,"combined",-0.348936921350419,-0.491471878696621,-0.206401964004218,0.775349902740361,1.16654926669368,0.0618844513121274,384.958293862223,-4017.80207225388,8045.60414450776,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",2.62518161695971
"published_cleaned",2355,390,380,"unstructured_only",-0.363933780773176,-0.484463526896771,-0.243404034649581,0.751559609390475,1.1383023209811,NA,NA,-3969.18751437208,7944.37502874416,"completed_no_explicit_optimizer_status",NA,0
"published_cleaned",2355,390,380,"spatial_only",-0.355839531322664,-0.478524686925738,-0.23315437571959,0.763024307641432,NA,1.14948139553663,0.136938581658506,-3980.24727371705,7968.4945474341,"completed_no_explicit_optimizer_status",NA,24.1195186899404
"published_cleaned",2355,390,380,"combined",-0.362424409939403,-0.544630024029995,-0.180218795848811,0.751386701059094,1.09425159419519,0.0478459017885566,2058.90694724748,-3968.25434208591,7946.50868417182,"completed_no_explicit_optimizer_status","Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",2.13365542766041
