"parameter","rhat","ess_bulk","ess_tail"
"r_effect.size.id[71,Intercept]",1.00043788426839,39286.1573857769,12071.4106101998
"r_effect.size.id[72,Intercept]",1.00116521582288,40120.8314038894,11764.0277380354
"r_effect.size.id[73,Intercept]",1.00015974305795,38448.6370901551,12888.8838100675
"r_effect.size.id[74,Intercept]",1.00006877591919,36533.345530937,10890.4593364436
"r_effect.size.id[75,Intercept]",1.00015372965207,45889.4284847734,11107.2415177817
"r_effect.size.id[76,Intercept]",1.00059879731926,38494.2056396632,11453.4526700444
"r_effect.size.id[77,Intercept]",1.00015465974675,39457.6831184634,11684.1008140289
"r_effect.size.id[78,Intercept]",1.00006247343883,42059.6579233891,11196.9833887072
"r_effect.size.id[79,Intercept]",1.00019080311064,36840.8672461657,12117.2960893749
"r_effect.size.id[80,Intercept]",1.0004087703919,37149.9155504731,11325.128594843
"r_effect.size.id[81,Intercept]",1.00031116438051,35581.1525290512,11718.6579541485
"r_effect.size.id[82,Intercept]",1.00009507760496,36943.2265582809,11656.4530810182
"r_effect.size.id[83,Intercept]",0.999945363596202,35264.4482591145,11093.1848694905
"r_effect.size.id[84,Intercept]",1.00048197352621,39784.1860386118,11365.405626266
"r_effect.size.id[85,Intercept]",1.00010573998556,40922.0820731496,10724.3324927075
"r_effect.size.id[86,Intercept]",1.00035737796475,39834.5142961557,11932.5395601657
"r_effect.size.id[87,Intercept]",0.999941721842747,38310.8864134344,10884.0069369962
"r_effect.size.id[88,Intercept]",1.00027057178371,39204.2754834165,11614.2714267596
"r_effect.size.id[89,Intercept]",1.00054188860634,40711.2723728734,11783.1884192476
"r_effect.size.id[90,Intercept]",1.00080508220787,35877.0061177097,11469.5194868383
"r_effect.size.id[91,Intercept]",1.00095400155526,41389.8245071267,11146.0638169157
"r_effect.size.id[92,Intercept]",1.00038823766007,35969.4230874048,11675.6998056074
"r_effect.size.id[93,Intercept]",0.999998099593906,37043.228282417,10524.2557916549
"r_effect.size.id[94,Intercept]",0.999975221965311,37746.2877564907,12305.5638373999
"r_effect.size.id[95,Intercept]",1.00011228780545,36426.7554805681,12397.03264069
"r_effect.size.id[96,Intercept]",0.999890366270475,32125.8712725793,12527.2484043772
"r_effect.size.id[97,Intercept]",1.00065481990654,37477.4141943712,11556.2671611889
"r_effect.size.id[98,Intercept]",1.00076262100299,40811.0979431296,10962.9919170239
"r_effect.size.id[99,Intercept]",0.999998740701974,35303.0289477662,12219.3865418899
"r_effect.size.id[100,Intercept]",1.00015021519534,34466.1714594083,12341.9557276283
"r_effect.size.id[101,Intercept]",1.0002351666089,29544.8576669812,11985.056557393
"r_effect.size.id[102,Intercept]",1.00018660917352,33525.1458140057,11307.1863698082
"r_effect.size.id[103,Intercept]",1.00050862751301,37443.4108819753,10648.103892026
"r_effect.size.id[104,Intercept]",0.999991830175675,44042.4454989251,11263.6781855329
"r_effect.size.id[105,Intercept]",1.00045843471063,38745.9290428315,11688.6354731405
"r_effect.size.id[106,Intercept]",1.00037755363443,35104.5840440605,12256.8990733412
"r_effect.size.id[107,Intercept]",1.00028141992153,28250.6360695946,13245.8591578048
"r_effect.size.id[108,Intercept]",1.00023966335465,35379.9000548117,11379.2875747869
"r_effect.size.id[109,Intercept]",1.00001650603661,33638.4605781952,12931.9049739649
"r_effect.size.id[110,Intercept]",0.999990724813222,36149.0953314886,12149.7998388626
"r_effect.size.id[111,Intercept]",1.00007763605746,41224.6935535503,11954.3082877803
"r_effect.size.id[112,Intercept]",1.00037531272193,40801.4624639608,10880.3653838368
"r_effect.size.id[113,Intercept]",1.00022270600798,37391.344913685,11218.1992256162
"r_effect.size.id[114,Intercept]",0.999945319374345,37765.969221192,11356.2805200604
"r_effect.size.id[115,Intercept]",0.999862306628573,40735.7769759737,11139.4023162955
"r_effect.size.id[116,Intercept]",1.00006036935781,40862.7482781998,10802.0908404648
"r_effect.size.id[117,Intercept]",0.999947070594079,42380.6559965721,11243.9140730212
"r_effect.size.id[118,Intercept]",1.00018353919895,39913.2849147655,11958.9840703115
"r_effect.size.id[119,Intercept]",1.00030258278542,38578.5642108306,10864.7404910174
"r_effect.size.id[120,Intercept]",0.999996628464501,41063.0746130011,10813.9668662784
"r_effect.size.id[121,Intercept]",1.00017159358293,38169.4830903872,11509.0205251601
"r_effect.size.id[122,Intercept]",1.00002091571722,33624.1744066584,11498.4963884869
"r_effect.size.id[123,Intercept]",1.00014748323262,34653.9293940515,12789.156754699
"r_effect.size.id[124,Intercept]",1.00023936196495,33819.8692347768,11745.2063619268
"r_effect.size.id[125,Intercept]",1.0005445407966,35925.1261609944,12267.6728664683
"r_effect.size.id[126,Intercept]",1.00025238642526,38641.8285448192,11262.1593232414
"r_effect.size.id[127,Intercept]",1.00025125981779,34357.3527395064,12021.1788780062
"r_effect.size.id[128,Intercept]",1.00043204909868,38130.9105393755,12115.5674894334
"r_effect.size.id[129,Intercept]",1.00025709319036,31088.3041980136,12439.3638317786
"r_effect.size.id[130,Intercept]",1.00071660374035,39132.861283744,11535.8030965626
"r_effect.size.id[131,Intercept]",1.0002007985564,40147.2953282481,11921.6457450315
"r_effect.size.id[132,Intercept]",1.00026978358465,39447.5583980041,11967.5773507553
"r_effect.size.id[133,Intercept]",1.00009577443822,34117.3633089635,11630.4162145263
"r_effect.size.id[134,Intercept]",1.00035817300595,39174.8364076769,11527.3630140227
"r_effect.size.id[135,Intercept]",1.00004755260738,38803.3971771177,12178.5520055611
"r_effect.size.id[136,Intercept]",1.00016415181553,37954.286593593,11044.1286621296
"r_effect.size.id[137,Intercept]",1.0006618333811,42818.5776650507,11785.4939630032
"r_effect.size.id[138,Intercept]",1.00057299058453,40141.5672570306,10059.1262222624
"r_effect.size.id[139,Intercept]",1.00075656502413,39575.5789533538,11115.9892803063
"r_effect.size.id[140,Intercept]",1.00000321526313,40676.4204703759,11469.6927946124
"r_effect.size.id[141,Intercept]",1.00112266405872,38678.582461858,11368.2262860837
"r_effect.size.id[142,Intercept]",1.00031964959542,42395.9657112059,11770.9201704074
"r_effect.size.id[143,Intercept]",1.00010626851552,33505.4813670853,12157.1535384937
"r_effect.size.id[144,Intercept]",1.00025501378858,42020.8907584418,10793.0000390511
"r_effect.size.id[145,Intercept]",0.999894659535149,37943.0933852491,11808.067732874
"r_effect.size.id[146,Intercept]",1.00025280801632,35882.2277215941,11666.5095551033
"r_effect.size.id[147,Intercept]",1.00027019595289,40258.3009589907,10312.2217672885
"r_effect.size.id[148,Intercept]",1.00045381253633,42903.1795117246,10286.7698030863
"r_effect.size.id[149,Intercept]",1.00028185618422,45085.0154517894,11452.0478184408
"r_effect.size.id[150,Intercept]",1.00023205873478,39306.8178942669,10557.7894386757
"r_effect.size.id[151,Intercept]",1.001063119325,39390.2909558797,10806.8458602104
