"parameter","rhat","ess_bulk","ess_tail","chain_1_mean","chain_1_sd","chain_2_mean","chain_2_sd","chain_3_mean","chain_3_sd","chain_4_mean","chain_4_sd"
"b_Intercept",0.999974386320077,15328.3867105435,10786.2576407773,0.3595250727695,0.157637743889214,0.36155655235925,0.150347706331066,0.35806225243975,0.155624063422157,0.356321073547,0.154152210860122
"sd_study.id__Intercept",1.00085859899965,2059.71920219741,3710.53777056373,0.14252146895,0.0197890745725261,0.14152861345,0.0199705767790023,0.141685534025,0.0202503711822855,0.1423341768,0.0202260930420818
"sd_effect.size.id__Intercept",1.00079148985228,4994.18669075581,8837.40115224993,0.120706062475,0.00549892433788807,0.12023704915,0.00546829292644941,0.12039148675,0.00542495190560423,0.12032792525,0.00536678638788574
"sd_species.id__Intercept",1.00094210947592,2431.07238859154,3459.82516518696,0.22731634825,0.0263894335102086,0.2291055535,0.025963801470785,0.22957331625,0.0263211380946642,0.22872726025,0.026850654324363
"sd_species.id.phy__Intercept",1.00068645620908,3669.40027330273,4227.80227519209,0.264814441475,0.0902170438915069,0.26330812485,0.0846805598297121,0.26185409825,0.0813692050006694,0.2622627526,0.0823276652057426
