"statistic","observed","replicated_median","replicated_lower_95","replicated_upper_95","p_replicated_ge_observed"
"mean",0.252069865997404,0.249522653881454,0.236058360125956,0.262532829463361,0.364
"standard_deviation",0.360215473362129,0.340656148014406,0.326611456989683,0.355552917419443,0.002
