"component","metafor_REML_estimate","glmmTMB_REML_estimate","brms_posterior_median","brms_minus_metafor","brms_minus_glmmTMB"
"pooled_mean",0.368165850831914,0.368165833415737,0.3608,-0.00736585083191432,-0.00736583341573699
"study_variance",0.0191584508703,0.0191584989216269,0.019974734225,0.000816283354699958,0.000816235303373058
"effect_size_variance",0.0144501380509337,0.0144501440257068,0.0144743757905,2.42377395663403e-05,2.42317647932231e-05
"species_nonphylogenetic_variance",0.0556617542807465,0.0556615988809136,0.0528174622405,-0.00284429204024647,-0.00284413664041364
"species_phylogenetic_variance",0.0512236594750657,0.0512235320991495,0.0614675494025,0.0102438899274343,0.0102440173033505
