"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",-0.108458223160575,-0.10209281083893,-0.166988634165732,-0.0324880902949786,0.57
"standard_deviation",0.460605827947191,0.458158184269013,0.404005332880365,0.521394434163706,0.454
