"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00006641225469,9206.70922038673,8577.38356281985
"sigma",1.00142522189461,1739.91759843502,3273.00824174902
"sd_species__Intercept",1.00168601703472,1396.82167620959,1932.59851729403
"sd_phy__Intercept",1.00096305080412,2501.98883929315,3201.4930972323
