"start_label","fixed_rho_km","start_effect_variance","start_study_variance","start_spatial_variance","start_rho_km","pooled_mean","ci_lb","ci_ub","iid_effect_variance","study_variance","spatial_variance","rho_km","logLik_REML","AIC_REML","convergence_status","elapsed_seconds","warnings","delta_logLik_from_best","delta_AIC_from_best"
"fixed200",NA,0.775568566150275,1.13139792827622,0.088691411637678,200,-0.348014234964198,-0.487401802754792,-0.208626667173603,0.775543299143913,1.13951796600728,0.0830245702476023,312.357141623324,-4017.42687118915,8044.8537423783,"completed_no_explicit_optimizer_status",1513.787,NA,7.59882823331282e-10,1.50976120494306e-09
"intermediate800",NA,0.775387636710727,1.17230884379794,0.0626364601531193,800,-0.348014165264713,-0.487401362181365,-0.208626968348061,0.775543397792789,1.13951434814099,0.083023896030342,312.354879866345,-4017.42687118839,8044.85374237679,"completed_no_explicit_optimizer_status",1043.519,NA,0,0
"primary3091",NA,0.775206707271178,1.21321975931966,0.0365815086685606,3090.79583253413,-0.335243148326113,-0.520259835608968,-0.150226461043258,0.775206707271178,1.21321975931966,0.0365815086685606,3090.79583253413,-4017.81107127865,8045.62214255731,"completed_no_explicit_optimizer_status",36.983,"Setting class(x) to multiple strings (""vcovmat"", ""dsyMatrix"", ...); result will no longer be an S4 object",0.384200090260038,0.768400180520075
