"model","phylogenetic_variance","nonphylogenetic_species_variance","correlation_offdiag_mean","correlation_offdiag_median","covariance_offdiag_mean","covariance_offdiag_median","covariance_offdiag_q05","covariance_offdiag_q95","pooled_se"
"BM",0.0512236594750657,0.0556617542807465,0.332202102507418,0,0.0170166073757407,0,0,0.0467039248155011,0.130044851828105
"OU_joint_raw",0.102938746796926,6.42492680617396e-09,0.00931816345168971,1.38900051834085e-24,0.000959200068165428,1.42981972658288e-25,1.42981972658285e-25,0.000808208115131063,0.0354633479671639
