"patristic_distance","BM_correlation","OU_correlation"
0,1,1
0.176470588235294,0.911764705882353,0.00785134985881912
0.788235294117647,0.605882352941177,3.95747343035446e-10
2,6.66133814775094e-16,1.38900051834085e-24
2,4.44089209850063e-16,1.38900051834084e-24
2,2.22044604925031e-16,1.38900051834082e-24
