"component","BM","OU_joint_raw","OU_joint_old_normalised","OU_fixed_matrix"
"study",0.0191584508703,0.0157332991878589,0.0157332995198745,0.015733300300342
"effect_size",0.0144501380509337,0.0144193530012275,0.0144193528941691,0.0144193529332551
"species_nonphylogenetic",0.0556617542807465,6.42492680617396e-09,2.51415425083482e-09,1.81843446849706e-09
"species_phylogenetic",0.0512236594750657,0.102938746796926,0.102938737241849,0.102938747979789
