"rho","alpha","REML_logLik","AIC_nominal_fixed_rho","pooled_mean","pooled_se","ci_lb","ci_ub","study_variance","effect_size_variance","species_nonphylogenetic_variance","species_phylogenetic_variance","correlation_offdiag_mean","covariance_offdiag_mean","error","delta_REML_logLik_from_grid_max","within_95pct_LR_grid"
0.00072815360673701,1373.33660198592,-189.434253588927,388.868507177853,0.338321142846169,0.0194944664556019,0.300087361580151,0.376554924112188,0.0194737830036618,0.0142911025565923,1.49271916922763e-09,0.081720458631205,4.22805387183253e-07,3.45518501523597e-08,NA,29.055921637601,FALSE
0.000787412681811984,1269.98208575815,-189.426595457107,388.853190914215,0.338321810124674,0.0194952544693009,0.300086483356322,0.376557136893026,0.0194701205485169,0.0142911199546094,1.49271857549901e-09,0.0817247525905127,7.76778903046592e-07,6.34820636690126e-08,NA,29.0482635057818,FALSE
0.000851494417856088,1174.40581996747,-189.413909285792,388.827818571584,0.338322918509368,0.0194965600829638,0.300085031088878,0.376560805929858,0.0194640593976575,0.0142911487305851,1.49271915182591e-09,0.0817318561627561,1.36352208568033e-06,1.11443190981566e-07,NA,29.0355773344663,FALSE
0.000920791295831835,1086.02242932434,-189.39379131549,388.78758263098,0.338324684179699,0.019498631229891,0.300082734694789,0.376566633664609,0.0194544611682787,0.0142911943889372,1.49271908015503e-09,0.0817430994938187,2.29492190720997e-06,1.87594029791609e-07,NA,29.0154593641646,FALSE
0.000995727737845214,1004.29059269156,-189.36314936169,388.726298723379,0.33832739239616,0.0195017874838519,0.300079252666247,0.376575532126074,0.0194398744152456,0.0142912642931711,1.49271911933121e-09,0.0817601735788409,3.71574653981263e-06,3.03800082070058e-07,NA,28.9848174103641,FALSE
0.0010767627066008,928.709727658442,-189.318186012169,388.636372024339,0.338331407348062,0.019506421486483,0.300074179118939,0.376588635577185,0.0194185411786805,0.0142913605751356,1.49271912589913e-09,0.0817851065864413,5.80544190089719e-06,4.74798684646269e-07,NA,28.9398540608438,FALSE
0.00116439251640745,858.816924627222,-189.254440670013,388.508881340025,0.338337185313797,0.019512999296066,0.300067056268261,0.376607314359333,0.0193884409651233,0.0142915042520599,1.49271914986381e-09,0.0818202330647374,8.7778583034263e-06,7.1820641219558e-07,NA,28.876108718687,FALSE
0.00125915387295107,794.184111633876,-189.166894433774,388.333788867549,0.338345287331755,0.0195220474561227,0.300057412462128,0.376633162201382,0.0193473739346213,0.0142917028274811,1.49271914625807e-09,0.0818680454399002,1.28789142896098e-05,1.05437154027835e-06,NA,28.7885624824489,FALSE
0.00136162716045221,734.415432538737,-189.050133334366,388.100266668733,0.338356401101621,0.0195341421865747,0.30004480528125,0.376667996921991,0.0192930858331146,0.0142919687322944,1.49271911187073e-09,0.0819310569790674,1.83825341771815e-05,1.50610045509031e-06,NA,28.6718013830408,FALSE
0.00147243999634125,679.144822529151,-188.898557432342,387.797114864684,0.338371368302391,0.019549890446737,0.300028885997605,0.376713850607177,0.0192234184083429,0.0142923157936573,1.49271910169969e-09,0.0820115837062532,2.55854478215351e-05,2.0983030956778e-06,NA,28.5202254810163,FALSE
0.00159227107522251,628.03376608487,-188.706617202945,387.41323440589,0.338391233232011,0.0195699163926561,0.300009474774802,0.37677299168922,0.0191364736595728,0.0142927581872835,1.49271912409983e-09,0.0821115926967074,3.48015661234869e-05,2.85761202273929e-06,NA,28.3282852516193,FALSE
0.00172185432567038,580.769223674404,-188.469055517485,386.938111034969,0.338417289844682,0.0195948396976183,0.299986650224579,0.376847929464786,0.0190307868462289,0.0142933119193556,1.49271906767405e-09,0.0822324288621904,4.63566354236942e-05,3.81201872476942e-06,NA,28.0907235661591,FALSE
0.00186198340531651,537.061714483977,-188.181133773213,386.362267546426,0.338451158718143,0.0196252665237649,0.299960844081123,0.376941473355162,0.0189054401828013,0.0142939894856898,1.49271903659406e-09,0.0823747358454007,6.05837576051462e-05,4.99057102924571e-06,NA,27.8028018218877,FALSE
0.00201351656175923,496.64354343641,-187.838824098523,385.677648197046,0.338494867121791,0.0196617895400956,0.299932921233886,0.377056813009696,0.0187602196365541,0.0142948209599431,1.49271904112266e-09,0.0825383851582402,7.78201923683244e-05,6.42315301078511e-06,NA,27.4604921471972,FALSE
0.00217738188906659,459.267161640941,-187.438955295806,384.877910591611,0.33855092713425,0.0197049606183076,0.299904311395793,0.377197542872706,0.0185953260715009,0.0142957751218616,1.49271895085397e-09,0.082722528063413,9.84056878268814e-05,8.14036727285866e-06,NA,27.0606233444801,FALSE
0.00235458301206767,424.703650232257,-186.979307135219,383.958614270439,0.33862240032828,0.0197553471745828,0.299876963287083,0.377367837369477,0.0184120268941993,0.0142969053105703,1.49271884167019e-09,0.0829255379769496,0.000122682454562204,1.01735085449034e-05,NA,26.6009751838939,FALSE
0.00254620523324657,392.741318312718,-186.458654425959,382.917308851919,0.338712953647145,0.0198134975473056,0.299853468415079,0.377572438879211,0.0182118580820995,0.0142982032713187,1.49271886639542e-09,0.0831454347878947,0.000150996822117716,1.25546964265679e-05,NA,26.0803224746337,FALSE
0.00275342217988698,363.184406410587,-185.876767772527,381.753535545053,0.338826854297556,0.0198799812277357,0.299836977064195,0.377816731530917,0.0179969167815641,0.0142996751648769,1.49271868974399e-09,0.0833799502135972,0.000183702587487673,1.53171125988312e-05,NA,25.4984358212012,FALSE
0.00297750299217904,335.851887513357,-185.234381133791,380.468762267581,0.338968920739861,0.0199553962904078,0.299831134713154,0.378106706766568,0.0177696158041943,0.0143013264664665,1.49271848688972e-09,0.0836267666974479,0.000221166057588446,1.84954022993433e-05,NA,24.8560491824651,FALSE
0.0032198200963134,310.576358332868,-184.533136984411,379.066273968821,0.339144430372253,0.0200403930398628,0.299839943341731,0.378448917402775,0.0175325834092652,0.0143031556036854,1.49271854041651e-09,0.083883780890612,0.000263772770677013,2.21262573003802e-05,NA,24.1548050330852,FALSE
0.00348185761017036,287.203014011556,-183.775518328281,377.551036656562,0.339358984205925,0.0201356984909504,0.299867578093589,0.378850390318262,0.0172885642256872,0.0143051399385451,1.49271856247479e-09,0.0841493624075227,0.000311935827745598,2.62492010168549e-05,NA,23.3971863769552,FALSE
0.00376522043308634,265.588699990216,-182.964773844378,375.929547688756,0.339618285180889,0.0202421023540044,0.299918193078857,0.37931837728292,0.0170402602702613,0.0143072901165211,1.49271865480257e-09,0.0844221664560369,0.000366105658311574,3.09074328264767e-05,NA,22.5864418930527,FALSE
