"rho","alpha","REML_logLik","pooled_mean","pooled_se","ci_lb","ci_ub","study_variance","effect_size_variance","species_nonphylogenetic_variance","species_phylogenetic_variance","correlation_offdiag_mean","covariance_offdiag_mean","delta_REML_logLik_from_grid_max"
0.0227675662430393,43.9221298106789,-161.796061618434,0.354018719564798,0.0293414785999567,0.296472354940393,0.411565084189203,0.014323261329417,0.0143936657949017,1.4927181079359e-09,0.0959624756495454,0.00539544243284486,0.000517760013080399,1.41772966710846
0.0246204512727745,40.6166397569573,-161.352846312359,0.353855016825287,0.0302161318968261,0.294593226805051,0.413116806845522,0.0144762805052418,0.0143983171402039,1.4927178339836e-09,0.0969447759814512,0.00592320875367587,0.000574224145716478,0.974514361033357
0.026624129008975,37.5599141539203,-160.994249773372,0.353570325095609,0.0311450749311717,0.292486633210829,0.414654016980389,0.0146621492269092,0.014402842084184,1.49271852364607e-09,0.0979964917948457,0.00649544331632437,0.000636530657652066,0.615917822046526
0.0287908713627192,34.7332314955526,-160.719794991017,0.353174398168437,0.03213091170153,0.290157220823682,0.416191575513192,0.0148809573858982,0.0144071905293708,1.4927184350177e-09,0.0991206688067595,0.00711617539450003,0.000705360064449049,0.341463039691916
0.0311339489658127,32.1192792182601,-160.527661886432,0.352676612638661,0.0331767108607952,0.287608347802254,0.417744877475069,0.0151324971201482,0.0144113960824635,1.49271873467638e-09,0.100318877290911,0.00778997679239432,0.000781481725935253,0.149329935106266
0.0336677124493353,29.7020476667325,-160.415017318356,0.352085358053108,0.0342861231337271,0.284841243660945,0.419329472445272,0.0154166609634151,0.0144154490025014,1.49271895950951e-09,0.101591732876652,0.00852202395280113,0.000865767180981404,0.0366853670302589
0.0364076803368505,27.4667320397185,-160.378331951326,0.351407472834767,0.0354633453743924,0.281854515686964,0.420960429982571,0.0157332996302994,0.0144193528993571,1.49271914888632e-09,0.102938740811989,0.00931816223761237,0.000959199887421645,0
0.0393706340905992,25.3996417151629,-160.413651132222,0.350647969167691,0.0367130782410567,0.278643956835904,0.422651981499478,0.0160823355057824,0.0144231071464453,1.49271929633835e-09,0.104358231465429,0.0101849716547404,0.00106288562941423,0.0353191808968631
0.0425747208928044,23.4881163993493,-160.516800653706,0.349810271143073,0.0380405209708755,0.27520279412603,0.424417748160115,0.0164637091703932,0.0144267208467679,1.49271933972692e-09,0.10584773870322,0.0111298305377197,0.00117806739456767,0.138468702380123
0.0460395647915918,21.7204485864869,-160.683519254649,0.348897027121632,0.0394513080694738,0.271522625169066,0.426271429074198,0.0168773672632727,0.0144302078520379,1.49271985165815e-09,0.107404034044836,0.0121609697958375,0.00130613721397035,0.305187303323692
0.0497863868922607,20.0858118538313,-160.909520146516,0.347911517026711,0.0409514488940934,0.267594943956645,0.428228090096776,0.0173232867318242,0.0144335945768573,1.49272006042998e-09,0.10902314331679,0.0132875064840068,0.00144864572372865,0.531188195190907
0.0538381353300402,18.5741945531688,-161.190494440634,0.346859494652719,0.0425473543685004,0.26341293077379,0.430306058531647,0.0178013539957165,0.0144368754949473,1.4927207381749e-09,0.110700816034626,0.0145194433991385,0.00160731423265319,0.812162489308321
0.0582196258203726,17.1763384925444,-161.522078276363,0.345750957371131,0.044245728526113,0.25897343461739,0.432528480124871,0.0183114255757657,0.0144401023693781,1.49272055366294e-09,0.112431981873093,0.0158676232367224,0.00178402832812024,1.14374632503791
0.0629576936475535,15.8836822326775,-161.899809685577,0.344601627149536,0.0460536519254913,0.254278290615512,0.43492496368356,0.0188532137123039,0.0144432975580912,1.49272066367199e-09,0.114211307742992,0.0173436330944463,0.00198083901673135,1.52147773425111
