"model","pooled_mean","pooled_se","ci_lb","ci_ub","REML_logLik","estimated_parameters","AIC","rho","alpha","note","delta_AIC_vs_BM"
"BM",0.368165850831914,0.130044851828105,0.113113657898534,0.623218043765295,-167.672633555234,5,345.345267110467,NA,NA,"vcv(tree, corr = TRUE)",0
"OU_joint_raw",0.351407472260857,0.0354633479671639,0.281854510027946,0.420960434493769,-160.378331968697,6,332.756663937394,0.0364076845019819,27.4667288974547,"Model A: raw direct patristic distance; rho jointly estimated",-12.5886031730727
"OU_joint_old_normalised",0.351407471738099,0.0354633457457362,0.281854513861992,0.420960429614205,-160.378331954928,6,332.756663909856,0.018203841433989,54.9334602603639,"Diagnostic only: J-A = d/(2h) for this tree",-12.5886032006108
"OU_fixed_matrix",0.351407472297812,0.0354633479659247,0.281854510067331,0.420960434528293,-160.378331952472,5,330.756663904944,0.0364076845019819,27.4667288974547,"Model B: matrix fixed after Model A; nominal AIC omits rho",-14.5886032055232
