"dataset","model","component","variance","generalized_v_tilde","I2_percent"
"all_spatially_usable","combined","effect_size",0.775349902740361,0.111123796928008,36.6611746812556
"published_cleaned","combined","effect_size",0.751386701059094,0.110937235977794,37.486463110044
"all_spatially_usable","combined","spatial",0.0618844513121274,0.111123796928008,2.9261068732826
"published_cleaned","combined","spatial",0.0478459017885566,0.110937235977794,2.38701806917189
"all_spatially_usable","combined","study",1.16654926669368,0.111123796928008,55.1584082094982
"published_cleaned","combined","study",1.09425159419519,0.110937235977794,54.5918925116544
"all_spatially_usable","combined","total",2.00378362074616,0.111123796928008,94.7456897640364
"published_cleaned","combined","total",1.89348419704284,0.110937235977794,94.4653736908703
"all_spatially_usable","spatial_only","effect_size",0.793428772264592,0.111123796928008,37.1528642577901
"published_cleaned","spatial_only","effect_size",0.763024307641432,0.110937235977794,37.7092080471393
"all_spatially_usable","spatial_only","spatial",1.23102644501013,0.111123796928008,57.6436852405438
"published_cleaned","spatial_only","spatial",1.14948139553663,0.110937235977794,56.8081942560818
"all_spatially_usable","spatial_only","total",2.02445521727472,0.111123796928008,94.7965494983339
"published_cleaned","spatial_only","total",1.91250570317806,0.110937235977794,94.5174023032211
"all_spatially_usable","unstructured_only","effect_size",0.775372663638828,0.111123796928008,36.4328506095456
"published_cleaned","unstructured_only","effect_size",0.751559609390475,0.110937235977794,37.5629709383457
"all_spatially_usable","unstructured_only","study",1.24172752044572,0.111123796928008,58.3457160300833
"published_cleaned","unstructured_only","study",1.1383023209811,0.110937235977794,56.8923828101163
"all_spatially_usable","unstructured_only","total",2.01710018408455,0.111123796928008,94.7785666396289
"published_cleaned","unstructured_only","total",1.88986193037157,0.110937235977794,94.455353748462
