"fixed_tau2","best_logLik_REML","worst_logLik_REML","max_start_dependence_logLik","max_improvement_over_single_start","best_final_rho_km"
0.8,-3986.90744321732,-3986.90744321752,1.99634087039158e-10,0,0.0372086856355396
1,-3981.21271086537,-3981.21271086582,4.501998773776e-10,0,0.0410488392081703
1.3,-3981.01712132799,-3981.03670153879,0.0195802108000862,0.0195802053699481,0.15122521663409
