"model","component","primary_value","primary_free_logLik_REML","fixed_primary_grid_value","fixed_primary_logLik_REML","fixed_primary_minus_free_logLik","grid_max_value","grid_max_logLik_REML","grid_max_minus_free_logLik","zero_logLik_loss","near95_min","near95_max","near0.5_min","near0.5_max"
"spatial_only","tau2",1.14948139553663,-3980.24727371705,1.14948139553663,-3980.24727371848,-1.42972567118704e-09,1.14948139553663,-3980.24727371848,-1.42972567118704e-09,381.04688197372,1,1.3,1.14948139553663,1.14948139553663
"spatial_only","rho",0.136938581658506,-3980.24727371705,0.136938581658506,-3980.24727372282,-5.76983438804746e-09,0.05,-3980.24401559829,0.00325811876018633,NA,0.005,0.5,0.005,0.3
"combined","tau2",0.0478459017885566,-3968.25434208591,0.0478459017885566,-3968.25434208506,8.49922798806801e-10,0.0478459017885566,-3968.25434208506,8.49922798806801e-10,0.933172286169793,0,0.4,0.01,0.1
"combined","rho",2058.90694724748,-3968.25434208591,2058.90694724748,-3968.25434208572,1.90084392670542e-10,385,-3968.23700991103,0.0173321748802664,NA,0.1,12000,200,12000
