"dataset","model","component","variance","generalized_v_tilde","denominator","I2_percent"
"published_cleaned","unstructured_only","effect_size",0.751559609390475,0.110937235977794,2.00079916634936,37.5629709383457
"published_cleaned","unstructured_only","study",1.1383023209811,0.110937235977794,2.00079916634936,56.8923828101163
"published_cleaned","unstructured_only","total",1.88986193037157,0.110937235977794,2.00079916634936,94.455353748462
"published_cleaned","spatial_only","effect_size",0.763024307641432,0.110937235977794,2.02344293915585,37.7092080471393
"published_cleaned","spatial_only","spatial",1.14948139553663,0.110937235977794,2.02344293915585,56.8081942560818
"published_cleaned","spatial_only","total",1.91250570317806,0.110937235977794,2.02344293915585,94.5174023032211
"published_cleaned","combined","effect_size",0.751386701059094,0.110937235977794,2.00442143302063,37.486463110044
"published_cleaned","combined","study",1.09425159419519,0.110937235977794,2.00442143302063,54.5918925116544
"published_cleaned","combined","spatial",0.0478459017885566,0.110937235977794,2.00442143302063,2.38701806917189
"published_cleaned","combined","total",1.89348419704284,0.110937235977794,2.00442143302063,94.4653736908703
