"parameter","estimate","est_error","ci_lb","ci_ub"
"pooled_mean",-0.100105,0.231032830149759,-0.532816775,0.38813215
"iid_effect_variance",0.220459359962,0.0563878954741016,0.1324672820383,0.351733899240075
"spatial_variance",0.661149498346,0.380067728156496,0.2509452013156,1.67061962952
"rho_km",36.63975,39.7958003545838,8.1441485,155.264525
