"value","parameter","panel"
0.168636,"Pooled mean (Hedges' d)","Fixed effect"
0.141135,"Pooled mean (Hedges' d)","Fixed effect"
-0.145153,"Pooled mean (Hedges' d)","Fixed effect"
-0.0792801,"Pooled mean (Hedges' d)","Fixed effect"
-0.139495,"Pooled mean (Hedges' d)","Fixed effect"
-0.177539,"Pooled mean (Hedges' d)","Fixed effect"
-0.0533637,"Pooled mean (Hedges' d)","Fixed effect"
-0.119665,"Pooled mean (Hedges' d)","Fixed effect"
0.0747604,"Pooled mean (Hedges' d)","Fixed effect"
-0.0901657,"Pooled mean (Hedges' d)","Fixed effect"
-0.111618,"Pooled mean (Hedges' d)","Fixed effect"
0.0705918,"Pooled mean (Hedges' d)","Fixed effect"
0.00582905,"Pooled mean (Hedges' d)","Fixed effect"
-0.0838756,"Pooled mean (Hedges' d)","Fixed effect"
-0.326892,"Pooled mean (Hedges' d)","Fixed effect"
-0.585931,"Pooled mean (Hedges' d)","Fixed effect"
-0.510432,"Pooled mean (Hedges' d)","Fixed effect"
-0.0584077,"Pooled mean (Hedges' d)","Fixed effect"
-0.0836009,"Pooled mean (Hedges' d)","Fixed effect"
-0.0533485,"Pooled mean (Hedges' d)","Fixed effect"
0.0600444,"Pooled mean (Hedges' d)","Fixed effect"
-0.121724,"Pooled mean (Hedges' d)","Fixed effect"
-0.0755159,"Pooled mean (Hedges' d)","Fixed effect"
0.0610975,"Pooled mean (Hedges' d)","Fixed effect"
0.0152438,"Pooled mean (Hedges' d)","Fixed effect"
-0.0268859,"Pooled mean (Hedges' d)","Fixed effect"
0.335055,"Pooled mean (Hedges' d)","Fixed effect"
-0.231065,"Pooled mean (Hedges' d)","Fixed effect"
-0.191536,"Pooled mean (Hedges' d)","Fixed effect"
-0.239932,"Pooled mean (Hedges' d)","Fixed effect"
-0.267407,"Pooled mean (Hedges' d)","Fixed effect"
-0.14074,"Pooled mean (Hedges' d)","Fixed effect"
-0.262316,"Pooled mean (Hedges' d)","Fixed effect"
-0.294323,"Pooled mean (Hedges' d)","Fixed effect"
-0.0450293,"Pooled mean (Hedges' d)","Fixed effect"
-0.0890086,"Pooled mean (Hedges' d)","Fixed effect"
0.063024,"Pooled mean (Hedges' d)","Fixed effect"
-0.116983,"Pooled mean (Hedges' d)","Fixed effect"
-0.0515958,"Pooled mean (Hedges' d)","Fixed effect"
-0.111594,"Pooled mean (Hedges' d)","Fixed effect"
-0.0651671,"Pooled mean (Hedges' d)","Fixed effect"
-0.22356,"Pooled mean (Hedges' d)","Fixed effect"
0.152392,"Pooled mean (Hedges' d)","Fixed effect"
-0.0294493,"Pooled mean (Hedges' d)","Fixed effect"
-0.128872,"Pooled mean (Hedges' d)","Fixed effect"
-0.385505,"Pooled mean (Hedges' d)","Fixed effect"
-0.156048,"Pooled mean (Hedges' d)","Fixed effect"
-0.156251,"Pooled mean (Hedges' d)","Fixed effect"
-0.248762,"Pooled mean (Hedges' d)","Fixed effect"
-0.168328,"Pooled mean (Hedges' d)","Fixed effect"
-0.0288398,"Pooled mean (Hedges' d)","Fixed effect"
0.0961052,"Pooled mean (Hedges' d)","Fixed effect"
-0.0172322,"Pooled mean (Hedges' d)","Fixed effect"
-0.207294,"Pooled mean (Hedges' d)","Fixed effect"
-0.0797114,"Pooled mean (Hedges' d)","Fixed effect"
-0.0262608,"Pooled mean (Hedges' d)","Fixed effect"
-0.0872907,"Pooled mean (Hedges' d)","Fixed effect"
-0.250134,"Pooled mean (Hedges' d)","Fixed effect"
-0.17369,"Pooled mean (Hedges' d)","Fixed effect"
