"value","parameter","panel"
0.157408,"Pooled mean (Hedges' d)","Fixed effect"
0.000275097,"Pooled mean (Hedges' d)","Fixed effect"
0.176741,"Pooled mean (Hedges' d)","Fixed effect"
-0.0946917,"Pooled mean (Hedges' d)","Fixed effect"
-0.0663352,"Pooled mean (Hedges' d)","Fixed effect"
0.20884,"Pooled mean (Hedges' d)","Fixed effect"
0.192398,"Pooled mean (Hedges' d)","Fixed effect"
0.0360348,"Pooled mean (Hedges' d)","Fixed effect"
-0.0578548,"Pooled mean (Hedges' d)","Fixed effect"
0.336833,"Pooled mean (Hedges' d)","Fixed effect"
-0.0187901,"Pooled mean (Hedges' d)","Fixed effect"
-0.154971,"Pooled mean (Hedges' d)","Fixed effect"
-0.184805,"Pooled mean (Hedges' d)","Fixed effect"
0.0837889,"Pooled mean (Hedges' d)","Fixed effect"
0.00982776,"Pooled mean (Hedges' d)","Fixed effect"
0.126038,"Pooled mean (Hedges' d)","Fixed effect"
0.168156,"Pooled mean (Hedges' d)","Fixed effect"
0.033211,"Pooled mean (Hedges' d)","Fixed effect"
-0.0576139,"Pooled mean (Hedges' d)","Fixed effect"
-0.234956,"Pooled mean (Hedges' d)","Fixed effect"
-0.15539,"Pooled mean (Hedges' d)","Fixed effect"
-0.0871249,"Pooled mean (Hedges' d)","Fixed effect"
-0.0487384,"Pooled mean (Hedges' d)","Fixed effect"
-0.062723,"Pooled mean (Hedges' d)","Fixed effect"
-0.179577,"Pooled mean (Hedges' d)","Fixed effect"
-0.163342,"Pooled mean (Hedges' d)","Fixed effect"
-0.11272,"Pooled mean (Hedges' d)","Fixed effect"
-0.239728,"Pooled mean (Hedges' d)","Fixed effect"
-0.107814,"Pooled mean (Hedges' d)","Fixed effect"
-0.117532,"Pooled mean (Hedges' d)","Fixed effect"
-0.141413,"Pooled mean (Hedges' d)","Fixed effect"
-0.0354307,"Pooled mean (Hedges' d)","Fixed effect"
-0.130733,"Pooled mean (Hedges' d)","Fixed effect"
-0.155784,"Pooled mean (Hedges' d)","Fixed effect"
-0.358563,"Pooled mean (Hedges' d)","Fixed effect"
-0.199576,"Pooled mean (Hedges' d)","Fixed effect"
-0.387769,"Pooled mean (Hedges' d)","Fixed effect"
-0.352016,"Pooled mean (Hedges' d)","Fixed effect"
0.170089,"Pooled mean (Hedges' d)","Fixed effect"
-0.0214742,"Pooled mean (Hedges' d)","Fixed effect"
-0.0767215,"Pooled mean (Hedges' d)","Fixed effect"
-0.618905,"Pooled mean (Hedges' d)","Fixed effect"
-0.528172,"Pooled mean (Hedges' d)","Fixed effect"
0.029739,"Pooled mean (Hedges' d)","Fixed effect"
-0.0890054,"Pooled mean (Hedges' d)","Fixed effect"
0.0434064,"Pooled mean (Hedges' d)","Fixed effect"
0.0724895,"Pooled mean (Hedges' d)","Fixed effect"
0.0273141,"Pooled mean (Hedges' d)","Fixed effect"
-0.126869,"Pooled mean (Hedges' d)","Fixed effect"
-0.0633793,"Pooled mean (Hedges' d)","Fixed effect"
0.0315357,"Pooled mean (Hedges' d)","Fixed effect"
-0.0794792,"Pooled mean (Hedges' d)","Fixed effect"
-0.10966,"Pooled mean (Hedges' d)","Fixed effect"
-0.10457,"Pooled mean (Hedges' d)","Fixed effect"
-0.184702,"Pooled mean (Hedges' d)","Fixed effect"
0.055986,"Pooled mean (Hedges' d)","Fixed effect"
0.160267,"Pooled mean (Hedges' d)","Fixed effect"
-0.052013,"Pooled mean (Hedges' d)","Fixed effect"
0.234383,"Pooled mean (Hedges' d)","Fixed effect"
0.302672,"Pooled mean (Hedges' d)","Fixed effect"
-0.340588,"Pooled mean (Hedges' d)","Fixed effect"
-0.0477424,"Pooled mean (Hedges' d)","Fixed effect"
-0.3746,"Pooled mean (Hedges' d)","Fixed effect"
-0.192501,"Pooled mean (Hedges' d)","Fixed effect"
-0.443439,"Pooled mean (Hedges' d)","Fixed effect"
-0.134895,"Pooled mean (Hedges' d)","Fixed effect"
-0.0510934,"Pooled mean (Hedges' d)","Fixed effect"
-8.82552e-05,"Pooled mean (Hedges' d)","Fixed effect"
0.0246453,"Pooled mean (Hedges' d)","Fixed effect"
-0.132926,"Pooled mean (Hedges' d)","Fixed effect"
-0.0121475,"Pooled mean (Hedges' d)","Fixed effect"
0.0871672,"Pooled mean (Hedges' d)","Fixed effect"
0.00716874,"Pooled mean (Hedges' d)","Fixed effect"
-0.0364838,"Pooled mean (Hedges' d)","Fixed effect"
-0.00377774,"Pooled mean (Hedges' d)","Fixed effect"
-0.0950141,"Pooled mean (Hedges' d)","Fixed effect"
-0.33401,"Pooled mean (Hedges' d)","Fixed effect"
-0.102868,"Pooled mean (Hedges' d)","Fixed effect"
-0.490896,"Pooled mean (Hedges' d)","Fixed effect"
-0.548408,"Pooled mean (Hedges' d)","Fixed effect"
-0.570448,"Pooled mean (Hedges' d)","Fixed effect"
-0.328005,"Pooled mean (Hedges' d)","Fixed effect"
-0.38656,"Pooled mean (Hedges' d)","Fixed effect"
-0.405789,"Pooled mean (Hedges' d)","Fixed effect"
-0.211902,"Pooled mean (Hedges' d)","Fixed effect"
-0.345694,"Pooled mean (Hedges' d)","Fixed effect"
-0.39846,"Pooled mean (Hedges' d)","Fixed effect"
-0.459685,"Pooled mean (Hedges' d)","Fixed effect"
-0.532727,"Pooled mean (Hedges' d)","Fixed effect"
-0.212347,"Pooled mean (Hedges' d)","Fixed effect"
-0.0719291,"Pooled mean (Hedges' d)","Fixed effect"
-0.0934675,"Pooled mean (Hedges' d)","Fixed effect"
-0.221709,"Pooled mean (Hedges' d)","Fixed effect"
-0.294659,"Pooled mean (Hedges' d)","Fixed effect"
-0.384315,"Pooled mean (Hedges' d)","Fixed effect"
-0.564257,"Pooled mean (Hedges' d)","Fixed effect"
-0.486718,"Pooled mean (Hedges' d)","Fixed effect"
-0.438836,"Pooled mean (Hedges' d)","Fixed effect"
-0.631302,"Pooled mean (Hedges' d)","Fixed effect"
-0.509985,"Pooled mean (Hedges' d)","Fixed effect"
-0.451677,"Pooled mean (Hedges' d)","Fixed effect"
-0.278046,"Pooled mean (Hedges' d)","Fixed effect"
-0.381283,"Pooled mean (Hedges' d)","Fixed effect"
-0.533332,"Pooled mean (Hedges' d)","Fixed effect"
-0.674695,"Pooled mean (Hedges' d)","Fixed effect"
-0.325549,"Pooled mean (Hedges' d)","Fixed effect"
-0.358282,"Pooled mean (Hedges' d)","Fixed effect"
-0.375223,"Pooled mean (Hedges' d)","Fixed effect"
-0.132572,"Pooled mean (Hedges' d)","Fixed effect"
-0.313825,"Pooled mean (Hedges' d)","Fixed effect"
-0.581811,"Pooled mean (Hedges' d)","Fixed effect"
-0.363873,"Pooled mean (Hedges' d)","Fixed effect"
-0.462215,"Pooled mean (Hedges' d)","Fixed effect"
-0.473614,"Pooled mean (Hedges' d)","Fixed effect"
-0.395423,"Pooled mean (Hedges' d)","Fixed effect"
-0.175674,"Pooled mean (Hedges' d)","Fixed effect"
-0.298134,"Pooled mean (Hedges' d)","Fixed effect"
-0.117284,"Pooled mean (Hedges' d)","Fixed effect"
-0.103522,"Pooled mean (Hedges' d)","Fixed effect"
-0.169773,"Pooled mean (Hedges' d)","Fixed effect"
-0.0427798,"Pooled mean (Hedges' d)","Fixed effect"
0.153215,"Pooled mean (Hedges' d)","Fixed effect"
-0.265692,"Pooled mean (Hedges' d)","Fixed effect"
-0.207152,"Pooled mean (Hedges' d)","Fixed effect"
-0.250536,"Pooled mean (Hedges' d)","Fixed effect"
-0.173354,"Pooled mean (Hedges' d)","Fixed effect"
-0.0925461,"Pooled mean (Hedges' d)","Fixed effect"
0.176042,"Pooled mean (Hedges' d)","Fixed effect"
-0.246138,"Pooled mean (Hedges' d)","Fixed effect"
-0.310718,"Pooled mean (Hedges' d)","Fixed effect"
-0.242429,"Pooled mean (Hedges' d)","Fixed effect"
-0.172153,"Pooled mean (Hedges' d)","Fixed effect"
-0.375801,"Pooled mean (Hedges' d)","Fixed effect"
-0.192256,"Pooled mean (Hedges' d)","Fixed effect"
-0.0992791,"Pooled mean (Hedges' d)","Fixed effect"
-0.0866665,"Pooled mean (Hedges' d)","Fixed effect"
-0.111177,"Pooled mean (Hedges' d)","Fixed effect"
-0.211948,"Pooled mean (Hedges' d)","Fixed effect"
-0.00970885,"Pooled mean (Hedges' d)","Fixed effect"
-0.209644,"Pooled mean (Hedges' d)","Fixed effect"
-0.168293,"Pooled mean (Hedges' d)","Fixed effect"
-0.453352,"Pooled mean (Hedges' d)","Fixed effect"
-0.232687,"Pooled mean (Hedges' d)","Fixed effect"
-0.490908,"Pooled mean (Hedges' d)","Fixed effect"
0.164965,"Pooled mean (Hedges' d)","Fixed effect"
0.175041,"Pooled mean (Hedges' d)","Fixed effect"
0.352285,"Pooled mean (Hedges' d)","Fixed effect"
0.100908,"Pooled mean (Hedges' d)","Fixed effect"
-0.0974731,"Pooled mean (Hedges' d)","Fixed effect"
-0.193863,"Pooled mean (Hedges' d)","Fixed effect"
-0.506761,"Pooled mean (Hedges' d)","Fixed effect"
-0.207319,"Pooled mean (Hedges' d)","Fixed effect"
-0.227003,"Pooled mean (Hedges' d)","Fixed effect"
0.0330243,"Pooled mean (Hedges' d)","Fixed effect"
0.0286189,"Pooled mean (Hedges' d)","Fixed effect"
-0.0464636,"Pooled mean (Hedges' d)","Fixed effect"
0.0764786,"Pooled mean (Hedges' d)","Fixed effect"
-0.181891,"Pooled mean (Hedges' d)","Fixed effect"
-0.199583,"Pooled mean (Hedges' d)","Fixed effect"
-0.149074,"Pooled mean (Hedges' d)","Fixed effect"
-0.064077,"Pooled mean (Hedges' d)","Fixed effect"
-0.310321,"Pooled mean (Hedges' d)","Fixed effect"
-0.210458,"Pooled mean (Hedges' d)","Fixed effect"
-0.420083,"Pooled mean (Hedges' d)","Fixed effect"
-0.365412,"Pooled mean (Hedges' d)","Fixed effect"
-0.0623583,"Pooled mean (Hedges' d)","Fixed effect"
-0.202847,"Pooled mean (Hedges' d)","Fixed effect"
-0.379467,"Pooled mean (Hedges' d)","Fixed effect"
-0.436148,"Pooled mean (Hedges' d)","Fixed effect"
-0.142528,"Pooled mean (Hedges' d)","Fixed effect"
-0.15172,"Pooled mean (Hedges' d)","Fixed effect"
-0.107941,"Pooled mean (Hedges' d)","Fixed effect"
-0.249547,"Pooled mean (Hedges' d)","Fixed effect"
-0.152343,"Pooled mean (Hedges' d)","Fixed effect"
0.110213,"Pooled mean (Hedges' d)","Fixed effect"
-0.294897,"Pooled mean (Hedges' d)","Fixed effect"
-0.370019,"Pooled mean (Hedges' d)","Fixed effect"
-0.118517,"Pooled mean (Hedges' d)","Fixed effect"
-0.14579,"Pooled mean (Hedges' d)","Fixed effect"
-0.133081,"Pooled mean (Hedges' d)","Fixed effect"
-0.0390562,"Pooled mean (Hedges' d)","Fixed effect"
0.00106422,"Pooled mean (Hedges' d)","Fixed effect"
-0.194081,"Pooled mean (Hedges' d)","Fixed effect"
-0.0702832,"Pooled mean (Hedges' d)","Fixed effect"
-0.103267,"Pooled mean (Hedges' d)","Fixed effect"
-0.022974,"Pooled mean (Hedges' d)","Fixed effect"
-0.078786,"Pooled mean (Hedges' d)","Fixed effect"
0.193779,"Pooled mean (Hedges' d)","Fixed effect"
0.232354,"Pooled mean (Hedges' d)","Fixed effect"
0.0902924,"Pooled mean (Hedges' d)","Fixed effect"
-0.0452356,"Pooled mean (Hedges' d)","Fixed effect"
0.0595746,"Pooled mean (Hedges' d)","Fixed effect"
-0.150806,"Pooled mean (Hedges' d)","Fixed effect"
0.00213459,"Pooled mean (Hedges' d)","Fixed effect"
-0.0787505,"Pooled mean (Hedges' d)","Fixed effect"
-0.0819452,"Pooled mean (Hedges' d)","Fixed effect"
-0.125827,"Pooled mean (Hedges' d)","Fixed effect"
-0.121884,"Pooled mean (Hedges' d)","Fixed effect"
-0.157427,"Pooled mean (Hedges' d)","Fixed effect"
-0.0854031,"Pooled mean (Hedges' d)","Fixed effect"
0.146808,"Pooled mean (Hedges' d)","Fixed effect"
0.149943,"Pooled mean (Hedges' d)","Fixed effect"
-0.145616,"Pooled mean (Hedges' d)","Fixed effect"
-0.0358086,"Pooled mean (Hedges' d)","Fixed effect"
0.0644685,"Pooled mean (Hedges' d)","Fixed effect"
0.318059,"Pooled mean (Hedges' d)","Fixed effect"
0.180503,"Pooled mean (Hedges' d)","Fixed effect"
-0.165227,"Pooled mean (Hedges' d)","Fixed effect"
-0.080142,"Pooled mean (Hedges' d)","Fixed effect"
-0.061323,"Pooled mean (Hedges' d)","Fixed effect"
-0.0369604,"Pooled mean (Hedges' d)","Fixed effect"
-0.0347319,"Pooled mean (Hedges' d)","Fixed effect"
0.132146,"Pooled mean (Hedges' d)","Fixed effect"
-0.11827,"Pooled mean (Hedges' d)","Fixed effect"
-0.15907,"Pooled mean (Hedges' d)","Fixed effect"
0.103849,"Pooled mean (Hedges' d)","Fixed effect"
0.068536,"Pooled mean (Hedges' d)","Fixed effect"
0.0514251,"Pooled mean (Hedges' d)","Fixed effect"
-0.0520988,"Pooled mean (Hedges' d)","Fixed effect"
0.0016913,"Pooled mean (Hedges' d)","Fixed effect"
0.146778,"Pooled mean (Hedges' d)","Fixed effect"
-0.113904,"Pooled mean (Hedges' d)","Fixed effect"
-0.262657,"Pooled mean (Hedges' d)","Fixed effect"
0.00719659,"Pooled mean (Hedges' d)","Fixed effect"
-0.0606755,"Pooled mean (Hedges' d)","Fixed effect"
0.0841127,"Pooled mean (Hedges' d)","Fixed effect"
-0.229783,"Pooled mean (Hedges' d)","Fixed effect"
-0.259623,"Pooled mean (Hedges' d)","Fixed effect"
-0.0802008,"Pooled mean (Hedges' d)","Fixed effect"
-0.305597,"Pooled mean (Hedges' d)","Fixed effect"
-0.271052,"Pooled mean (Hedges' d)","Fixed effect"
-0.172771,"Pooled mean (Hedges' d)","Fixed effect"
-0.277271,"Pooled mean (Hedges' d)","Fixed effect"
0.0875657,"Pooled mean (Hedges' d)","Fixed effect"
-0.24176,"Pooled mean (Hedges' d)","Fixed effect"
-0.168317,"Pooled mean (Hedges' d)","Fixed effect"
0.0345498,"Pooled mean (Hedges' d)","Fixed effect"
0.0129105,"Pooled mean (Hedges' d)","Fixed effect"
0.0877111,"Pooled mean (Hedges' d)","Fixed effect"
-0.442909,"Pooled mean (Hedges' d)","Fixed effect"
-0.311788,"Pooled mean (Hedges' d)","Fixed effect"
-0.649085,"Pooled mean (Hedges' d)","Fixed effect"
0.223904,"Pooled mean (Hedges' d)","Fixed effect"
-0.0228,"Pooled mean (Hedges' d)","Fixed effect"
-0.311438,"Pooled mean (Hedges' d)","Fixed effect"
-0.103637,"Pooled mean (Hedges' d)","Fixed effect"
-0.245764,"Pooled mean (Hedges' d)","Fixed effect"
-0.31524,"Pooled mean (Hedges' d)","Fixed effect"
-0.165436,"Pooled mean (Hedges' d)","Fixed effect"
-0.0988394,"Pooled mean (Hedges' d)","Fixed effect"
-0.17193,"Pooled mean (Hedges' d)","Fixed effect"
-0.081615,"Pooled mean (Hedges' d)","Fixed effect"
-0.10792,"Pooled mean (Hedges' d)","Fixed effect"
-0.0609713,"Pooled mean (Hedges' d)","Fixed effect"
-0.00504819,"Pooled mean (Hedges' d)","Fixed effect"
0.216897,"Pooled mean (Hedges' d)","Fixed effect"
0.105053,"Pooled mean (Hedges' d)","Fixed effect"
0.071501,"Pooled mean (Hedges' d)","Fixed effect"
-0.127752,"Pooled mean (Hedges' d)","Fixed effect"
-0.229861,"Pooled mean (Hedges' d)","Fixed effect"
-0.182006,"Pooled mean (Hedges' d)","Fixed effect"
-0.147375,"Pooled mean (Hedges' d)","Fixed effect"
-0.324221,"Pooled mean (Hedges' d)","Fixed effect"
-0.333336,"Pooled mean (Hedges' d)","Fixed effect"
-0.393332,"Pooled mean (Hedges' d)","Fixed effect"
-0.228528,"Pooled mean (Hedges' d)","Fixed effect"
-0.0989057,"Pooled mean (Hedges' d)","Fixed effect"
0.147328,"Pooled mean (Hedges' d)","Fixed effect"
-0.190957,"Pooled mean (Hedges' d)","Fixed effect"
-0.400855,"Pooled mean (Hedges' d)","Fixed effect"
-0.355405,"Pooled mean (Hedges' d)","Fixed effect"
-0.152744,"Pooled mean (Hedges' d)","Fixed effect"
0.23935,"Pooled mean (Hedges' d)","Fixed effect"
0.14952,"Pooled mean (Hedges' d)","Fixed effect"
0.102154,"Pooled mean (Hedges' d)","Fixed effect"
0.196997,"Pooled mean (Hedges' d)","Fixed effect"
0.333948,"Pooled mean (Hedges' d)","Fixed effect"
0.0422103,"Pooled mean (Hedges' d)","Fixed effect"
-0.376925,"Pooled mean (Hedges' d)","Fixed effect"
-0.0674921,"Pooled mean (Hedges' d)","Fixed effect"
-0.142765,"Pooled mean (Hedges' d)","Fixed effect"
0.0211148,"Pooled mean (Hedges' d)","Fixed effect"
-0.107538,"Pooled mean (Hedges' d)","Fixed effect"
-0.0683001,"Pooled mean (Hedges' d)","Fixed effect"
0.038089,"Pooled mean (Hedges' d)","Fixed effect"
0.12877,"Pooled mean (Hedges' d)","Fixed effect"
0.102738,"Pooled mean (Hedges' d)","Fixed effect"
-0.10103,"Pooled mean (Hedges' d)","Fixed effect"
0.224115,"Pooled mean (Hedges' d)","Fixed effect"
0.202079,"Pooled mean (Hedges' d)","Fixed effect"
0.457576,"Pooled mean (Hedges' d)","Fixed effect"
0.313167,"Pooled mean (Hedges' d)","Fixed effect"
0.218991,"Pooled mean (Hedges' d)","Fixed effect"
0.140059,"Pooled mean (Hedges' d)","Fixed effect"
0.65506,"Pooled mean (Hedges' d)","Fixed effect"
-0.137166,"Pooled mean (Hedges' d)","Fixed effect"
-0.204334,"Pooled mean (Hedges' d)","Fixed effect"
-0.297692,"Pooled mean (Hedges' d)","Fixed effect"
0.213959,"Pooled mean (Hedges' d)","Fixed effect"
0.112763,"Pooled mean (Hedges' d)","Fixed effect"
0.0179553,"Pooled mean (Hedges' d)","Fixed effect"
0.0501819,"Pooled mean (Hedges' d)","Fixed effect"
0.150692,"Pooled mean (Hedges' d)","Fixed effect"
0.0335024,"Pooled mean (Hedges' d)","Fixed effect"
-0.0823303,"Pooled mean (Hedges' d)","Fixed effect"
-0.156667,"Pooled mean (Hedges' d)","Fixed effect"
-0.132801,"Pooled mean (Hedges' d)","Fixed effect"
-0.320157,"Pooled mean (Hedges' d)","Fixed effect"
-0.188869,"Pooled mean (Hedges' d)","Fixed effect"
-0.172963,"Pooled mean (Hedges' d)","Fixed effect"
0.158234,"Pooled mean (Hedges' d)","Fixed effect"
-0.0953873,"Pooled mean (Hedges' d)","Fixed effect"
-0.0908645,"Pooled mean (Hedges' d)","Fixed effect"
-0.183271,"Pooled mean (Hedges' d)","Fixed effect"
-0.179058,"Pooled mean (Hedges' d)","Fixed effect"
-0.296124,"Pooled mean (Hedges' d)","Fixed effect"
-0.0582883,"Pooled mean (Hedges' d)","Fixed effect"
0.0150091,"Pooled mean (Hedges' d)","Fixed effect"
-0.188908,"Pooled mean (Hedges' d)","Fixed effect"
-0.107641,"Pooled mean (Hedges' d)","Fixed effect"
-0.0902797,"Pooled mean (Hedges' d)","Fixed effect"
-0.0147279,"Pooled mean (Hedges' d)","Fixed effect"
-0.222162,"Pooled mean (Hedges' d)","Fixed effect"
-0.0820417,"Pooled mean (Hedges' d)","Fixed effect"
-0.0508754,"Pooled mean (Hedges' d)","Fixed effect"
-0.463598,"Pooled mean (Hedges' d)","Fixed effect"
-0.260092,"Pooled mean (Hedges' d)","Fixed effect"
-0.215981,"Pooled mean (Hedges' d)","Fixed effect"
-0.105693,"Pooled mean (Hedges' d)","Fixed effect"
-0.102807,"Pooled mean (Hedges' d)","Fixed effect"
-0.0470953,"Pooled mean (Hedges' d)","Fixed effect"
-0.112519,"Pooled mean (Hedges' d)","Fixed effect"
-0.0445823,"Pooled mean (Hedges' d)","Fixed effect"
-0.0135788,"Pooled mean (Hedges' d)","Fixed effect"
0.0698624,"Pooled mean (Hedges' d)","Fixed effect"
0.195066,"Pooled mean (Hedges' d)","Fixed effect"
0.290568,"Pooled mean (Hedges' d)","Fixed effect"
0.332625,"Pooled mean (Hedges' d)","Fixed effect"
-0.248126,"Pooled mean (Hedges' d)","Fixed effect"
-0.332735,"Pooled mean (Hedges' d)","Fixed effect"
-0.116253,"Pooled mean (Hedges' d)","Fixed effect"
-0.266905,"Pooled mean (Hedges' d)","Fixed effect"
-0.114072,"Pooled mean (Hedges' d)","Fixed effect"
-0.242311,"Pooled mean (Hedges' d)","Fixed effect"
0.0436781,"Pooled mean (Hedges' d)","Fixed effect"
0.303327,"Pooled mean (Hedges' d)","Fixed effect"
-0.0646217,"Pooled mean (Hedges' d)","Fixed effect"
0.00979791,"Pooled mean (Hedges' d)","Fixed effect"
0.0891773,"Pooled mean (Hedges' d)","Fixed effect"
0.203397,"Pooled mean (Hedges' d)","Fixed effect"
0.164473,"Pooled mean (Hedges' d)","Fixed effect"
0.0835251,"Pooled mean (Hedges' d)","Fixed effect"
-0.0396546,"Pooled mean (Hedges' d)","Fixed effect"
-0.0242942,"Pooled mean (Hedges' d)","Fixed effect"
-0.151285,"Pooled mean (Hedges' d)","Fixed effect"
-0.121817,"Pooled mean (Hedges' d)","Fixed effect"
-0.115023,"Pooled mean (Hedges' d)","Fixed effect"
-0.0410164,"Pooled mean (Hedges' d)","Fixed effect"
0.127778,"Pooled mean (Hedges' d)","Fixed effect"
-0.227096,"Pooled mean (Hedges' d)","Fixed effect"
-0.00126122,"Pooled mean (Hedges' d)","Fixed effect"
-0.0332398,"Pooled mean (Hedges' d)","Fixed effect"
-0.124006,"Pooled mean (Hedges' d)","Fixed effect"
-0.240697,"Pooled mean (Hedges' d)","Fixed effect"
0.0754322,"Pooled mean (Hedges' d)","Fixed effect"
0.117968,"Pooled mean (Hedges' d)","Fixed effect"
-0.15998,"Pooled mean (Hedges' d)","Fixed effect"
-0.119575,"Pooled mean (Hedges' d)","Fixed effect"
-0.177851,"Pooled mean (Hedges' d)","Fixed effect"
0.131169,"Pooled mean (Hedges' d)","Fixed effect"
-0.366438,"Pooled mean (Hedges' d)","Fixed effect"
-0.276885,"Pooled mean (Hedges' d)","Fixed effect"
-0.31813,"Pooled mean (Hedges' d)","Fixed effect"
-0.439303,"Pooled mean (Hedges' d)","Fixed effect"
-0.314181,"Pooled mean (Hedges' d)","Fixed effect"
-0.202801,"Pooled mean (Hedges' d)","Fixed effect"
-0.235561,"Pooled mean (Hedges' d)","Fixed effect"
-0.337814,"Pooled mean (Hedges' d)","Fixed effect"
0.0925425,"Pooled mean (Hedges' d)","Fixed effect"
-0.264586,"Pooled mean (Hedges' d)","Fixed effect"
-0.406822,"Pooled mean (Hedges' d)","Fixed effect"
-0.556939,"Pooled mean (Hedges' d)","Fixed effect"
-0.437847,"Pooled mean (Hedges' d)","Fixed effect"
-0.540521,"Pooled mean (Hedges' d)","Fixed effect"
-0.0524675,"Pooled mean (Hedges' d)","Fixed effect"
0.0757709,"Pooled mean (Hedges' d)","Fixed effect"
0.176937,"Pooled mean (Hedges' d)","Fixed effect"
0.0939583,"Pooled mean (Hedges' d)","Fixed effect"
-0.0878603,"Pooled mean (Hedges' d)","Fixed effect"
0.0123731,"Pooled mean (Hedges' d)","Fixed effect"
-0.378824,"Pooled mean (Hedges' d)","Fixed effect"
-0.239403,"Pooled mean (Hedges' d)","Fixed effect"
-0.289747,"Pooled mean (Hedges' d)","Fixed effect"
-0.172154,"Pooled mean (Hedges' d)","Fixed effect"
-0.487242,"Pooled mean (Hedges' d)","Fixed effect"
-0.362601,"Pooled mean (Hedges' d)","Fixed effect"
-0.344532,"Pooled mean (Hedges' d)","Fixed effect"
-0.335618,"Pooled mean (Hedges' d)","Fixed effect"
-0.349999,"Pooled mean (Hedges' d)","Fixed effect"
-0.225599,"Pooled mean (Hedges' d)","Fixed effect"
-0.21464,"Pooled mean (Hedges' d)","Fixed effect"
-0.243338,"Pooled mean (Hedges' d)","Fixed effect"
-0.139821,"Pooled mean (Hedges' d)","Fixed effect"
-0.109682,"Pooled mean (Hedges' d)","Fixed effect"
0.0704202,"Pooled mean (Hedges' d)","Fixed effect"
-0.178459,"Pooled mean (Hedges' d)","Fixed effect"
-0.124063,"Pooled mean (Hedges' d)","Fixed effect"
-0.149149,"Pooled mean (Hedges' d)","Fixed effect"
-0.0209507,"Pooled mean (Hedges' d)","Fixed effect"
0.359293,"Pooled mean (Hedges' d)","Fixed effect"
0.38207,"Pooled mean (Hedges' d)","Fixed effect"
0.489659,"Pooled mean (Hedges' d)","Fixed effect"
0.420377,"Pooled mean (Hedges' d)","Fixed effect"
0.383855,"Pooled mean (Hedges' d)","Fixed effect"
0.103093,"Pooled mean (Hedges' d)","Fixed effect"
0.0754319,"Pooled mean (Hedges' d)","Fixed effect"
0.164088,"Pooled mean (Hedges' d)","Fixed effect"
0.172093,"Pooled mean (Hedges' d)","Fixed effect"
0.28506,"Pooled mean (Hedges' d)","Fixed effect"
0.386293,"Pooled mean (Hedges' d)","Fixed effect"
0.230602,"Pooled mean (Hedges' d)","Fixed effect"
0.206206,"Pooled mean (Hedges' d)","Fixed effect"
0.154701,"Pooled mean (Hedges' d)","Fixed effect"
0.322586,"Pooled mean (Hedges' d)","Fixed effect"
0.481098,"Pooled mean (Hedges' d)","Fixed effect"
0.673907,"Pooled mean (Hedges' d)","Fixed effect"
0.505668,"Pooled mean (Hedges' d)","Fixed effect"
0.154658,"Pooled mean (Hedges' d)","Fixed effect"
0.128549,"Pooled mean (Hedges' d)","Fixed effect"
0.231962,"Pooled mean (Hedges' d)","Fixed effect"
0.52102,"Pooled mean (Hedges' d)","Fixed effect"
0.6084,"Pooled mean (Hedges' d)","Fixed effect"
0.054098,"Pooled mean (Hedges' d)","Fixed effect"
-0.0697587,"Pooled mean (Hedges' d)","Fixed effect"
-0.0256378,"Pooled mean (Hedges' d)","Fixed effect"
0.196271,"Pooled mean (Hedges' d)","Fixed effect"
0.172443,"Pooled mean (Hedges' d)","Fixed effect"
0.181929,"Pooled mean (Hedges' d)","Fixed effect"
0.219245,"Pooled mean (Hedges' d)","Fixed effect"
-0.0823233,"Pooled mean (Hedges' d)","Fixed effect"
0.102345,"Pooled mean (Hedges' d)","Fixed effect"
-0.254526,"Pooled mean (Hedges' d)","Fixed effect"
-0.184769,"Pooled mean (Hedges' d)","Fixed effect"
-0.370203,"Pooled mean (Hedges' d)","Fixed effect"
-0.276219,"Pooled mean (Hedges' d)","Fixed effect"
-0.211671,"Pooled mean (Hedges' d)","Fixed effect"
-0.165995,"Pooled mean (Hedges' d)","Fixed effect"
-0.229088,"Pooled mean (Hedges' d)","Fixed effect"
-0.0392648,"Pooled mean (Hedges' d)","Fixed effect"
-0.290873,"Pooled mean (Hedges' d)","Fixed effect"
-0.180573,"Pooled mean (Hedges' d)","Fixed effect"
-0.159649,"Pooled mean (Hedges' d)","Fixed effect"
-0.515352,"Pooled mean (Hedges' d)","Fixed effect"
-0.317817,"Pooled mean (Hedges' d)","Fixed effect"
-0.393622,"Pooled mean (Hedges' d)","Fixed effect"
0.0392858,"Pooled mean (Hedges' d)","Fixed effect"
0.0871204,"Pooled mean (Hedges' d)","Fixed effect"
0.0505807,"Pooled mean (Hedges' d)","Fixed effect"
-0.0792487,"Pooled mean (Hedges' d)","Fixed effect"
-0.036661,"Pooled mean (Hedges' d)","Fixed effect"
-0.18962,"Pooled mean (Hedges' d)","Fixed effect"
0.143324,"Pooled mean (Hedges' d)","Fixed effect"
-0.122993,"Pooled mean (Hedges' d)","Fixed effect"
0.110565,"Pooled mean (Hedges' d)","Fixed effect"
0.344781,"Pooled mean (Hedges' d)","Fixed effect"
0.338439,"Pooled mean (Hedges' d)","Fixed effect"
0.365096,"Pooled mean (Hedges' d)","Fixed effect"
