Pub_1st_author,Pub_year,Analysis_1,Analysis_2,Analysis_3,Analysis_4,Nutrient_Analyses,Effect_size (natural log response ratio of mean inoculated plant mass over mean non-inoculated plant mass),Estimated_variance (inverse of summed replicates of inoculated and non-inoculated plants),"N-fertilization (0=not fertilized with N, 1=fertilized with N)","P-fertilization (0=not fertilized with P, 1=fertilized with P)","Fertilization (N only, P only, neither, or both)",Location (lab or field),MycorrhizaType (AM or EM),"InoculumComplexity (Single species, multiple species, or whole soil inoculum)",PlantGenus,PlantSpecificEpithet,PlantFamily,PlantFunctionalGroup,FungalGenus,MicrobeControl,Sterility,Plant_tissue_N:P_ratio
van der Heijden,2003,Yes,Yes,Yes,Yes,Yes,1.658228077,0.055555556,0,0,neither,lab,AM,Single,Prunella,vulgaris,Lamiaceae,non-N-fixing forb,Glomus,microbial wash,sterile,8.936170213
Varma,1994,Yes,Yes,Yes,No,No,-0.840518173,0.5,1,0,N_only,lab,AM,Single,Fragaria,sp. var. avanta,Rosaceae,non-N-fixing forb,Glomus,none,Unknown,
Varma,1994,Yes,Yes,Yes,No,No,-1.163941636,0.5,1,0,N_only,lab,AM,Single,Fragaria,sp. var. Elsanta,Rosaceae,non-N-fixing forb,Glomus,none,Unknown,
Vivas,2003,Yes,Yes,Yes,No,Yes,0.376051223,0.083333333,1,0,N_only,lab,AM,Single,Lactuca,sativa,Asteraceae,non-N-fixing forb,Glomus,other,Unknown,12.36
Vivas,2003,Yes,Yes,Yes,No,Yes,0.106684143,0.083333333,1,1,both,lab,AM,Single,Lactuca,sativa,Asteraceae,non-N-fixing forb,Glomus,other,Unknown,15.4375
Vivas,2003,Yes,Yes,Yes,No,Yes,0.52109529,0.083333333,1,0,N_only,lab,AM,Single,Lactuca,sativa,Asteraceae,non-N-fixing forb,Glomus,other,Unknown,15.71428571
Vivas,2003,Yes,Yes,Yes,No,Yes,0.244824617,0.083333333,1,1,both,lab,AM,Single,Lactuca,sativa,Asteraceae,non-N-fixing forb,Glomus,other,Unknown,20.4516129
Waceke,2002,Yes,Yes,Yes,No,No,0.302827128,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,0.580070036,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,0.150352073,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,-0.050648156,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,0.148675692,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
Waceke,2002,Yes,Yes,Yes,No,No,-0.13760321,0.083333333,1,1,both,lab,AM,Single,Chrysanthemum,cinerariefolium,Asteraceae,non-N-fixing forb,Glomus,Unknown,sterile,
