Pub_1st_author,Pub_year,Analysis_1,Analysis_2,Analysis_3,Analysis_4,Nutrient_Analyses,Effect_size (natural log response ratio of mean inoculated plant mass over mean non-inoculated plant mass),Estimated_variance (inverse of summed replicates of inoculated and non-inoculated plants),"N-fertilization (0=not fertilized with N, 1=fertilized with N)","P-fertilization (0=not fertilized with P, 1=fertilized with P)","Fertilization (N only, P only, neither, or both)",Location (lab or field),MycorrhizaType (AM or EM),"InoculumComplexity (Single species, multiple species, or whole soil inoculum)",PlantGenus,PlantSpecificEpithet,PlantFamily,PlantFunctionalGroup,FungalGenus,MicrobeControl,Sterility,Plant_tissue_N:P_ratio
Baon,1993,Yes,Yes,Yes,Yes,No,-0.108912917,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.066353961,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.031133044,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.011368728,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.050788966,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.195879947,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.059811639,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.010645658,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.049213355,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.074026961,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,0.088406799,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baon,1993,Yes,Yes,Yes,Yes,No,-0.078490635,0.166666667,1,0,N_only,lab,AM,Single,Hordeum,vulgare,Poaceae,C3 grass,Glomus,none,sterile,
Baum,2000,Yes,No,Yes,No,No,0.158954532,0.0625,0,0,neither,lab,EM,Single,Populus,trichocarpa,Saliaceae,non-N-fixing woody,Laccaria,none,non,
Baum,2000,Yes,No,Yes,No,No,-0.065751378,0.0625,0,0,neither,lab,EM,Single,Populus,trichocarpa,Saliaceae,non-N-fixing woody,Paxillus,none,non,
Baum,2002,Yes,No,Yes,No,No,0.160063086,0.0625,0,0,neither,lab,EM,Single,Populus,trichocarpa,Saliaceae,non-N-fixing woody,Laccaria,none,non,
Baumann,2005,Yes,No,Yes,No,No,-1.295322583,0.1,0,0,neither,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Paxillus,microbial wash,sterile,
Baumann,2005,Yes,No,Yes,No,No,0.063460354,0.1,0,0,neither,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Paxillus,microbial wash,sterile,
Baumann,2005,Yes,No,Yes,No,No,0.623001571,0.1,0,0,neither,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Paxillus,microbial wash,sterile,
Baumann,2005,Yes,No,Yes,No,No,0.324092436,0.1,0,0,neither,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Paxillus,microbial wash,sterile,
Baumann,2005,Yes,No,Yes,No,No,0.069886127,0.1,0,0,neither,lab,EM,Single,Pinus,sylvestris,Pinaceae,non-N-fixing woody,Paxillus,microbial wash,sterile,
Beyeler,1997,Yes,No,No,No,No,1.043927255,0.083333333,1,1,both,lab,EM,Multiple,Fagus,sylvatica,Fagaceae,non-N-fixing woody,.,none,sterile,
Beyeler,1997,Yes,No,No,No,No,0.54024984,0.083333333,1,1,both,lab,EM,Multiple,Fagus,sylvatica,Fagaceae,non-N-fixing woody,.,none,sterile,
Bi,2003,Yes,Yes,Yes,Yes,No,-1.214444104,0.5,1,0,N_only,lab,AM,Single,Trifolium,pratense,Fabaceae,N-fixing forb,Glomus,microbial wash,sterile,
