"parameter","brms_posterior_median","metafor_estimate","difference"
"Pooled mean (Fisher's Z)",0.3456375,0.356181515933095,-0.0105440159330946
"Temporally pooled contrast",0.0391206,0.039533604763326,-0.000413004763325953
"IID effect-size variance",0.014556663801,0.0144882360148486,6.84277861513517e-05
"Study variance",0.0201371709305,0.0194047085649266,0.000732462365573405
"Non-phylogenetic species variance",0.051173226226,0.053950465839962,-0.00277723961396201
"Phylogenetic species variance",0.0635183648145,0.0519845463410141,0.0115338184734858
