"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00100848944794,5447.80526601674,5342.67635677771
"b_temporally.pooledyes",1.00036885027409,6365.00187656294,9895.83035175624
"sigma",1.00014393578743,10594.8063403688,10917.6167038398
"sd_study.id__Intercept",1.00297496471819,1107.393566281,1614.22540154131
"sd_species.id__Intercept",1.00233099740993,1241.66076202343,1658.63786630556
"sd_species.id.phy__Intercept",1.00429563019424,1564.09330912748,1708.18097216352
