"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",0.252069865997404,0.248259889972814,0.23487398664644,0.264681703680865,0.316
"standard_deviation",0.360215473362129,0.340850807654184,0.326949511636856,0.35754804804504,0.01
"mean_contrast_yes_minus_no",-0.0337686018274599,-0.0332933371601954,-0.0586709382816844,-0.00422943270093412,0.506
