"model","parameter","n_profile_points","primary_estimate","primary_logLik_REML","grid_max_value","grid_max_logLik_REML","primary_minus_grid_max","tau2_zero_logLik_REML","tau2_zero_delta_logLik","grid_values_with_delta_le_1_92"
"combined","rho",11,535.582313304341,-823.54492198001,535.5823133,-823.544921980215,-2.04977368412074e-10,NA,NA,"10 to 12000"
"combined","tau2",9,0.0204159826644641,-823.54492198001,0.02,-823.545291576883,-0.000369596872928923,-825.23928993561,1.69399835872707,"0 to 0.16"
"spatial_only","rho",10,168.709372569329,-928.303596461594,168.7093726,-928.303596461579,1.50066625792533e-11,NA,NA,"168.7093726 to 168.7093726"
"spatial_only","tau2",9,0.322658372212684,-928.303596461594,0.3226583722,-928.303596461536,5.79802872380242e-11,-1054.80122204769,126.497625586154,"0.3226583722 to 0.3226583722"
