"parameter","brms_posterior_median","metafor_estimate","difference"
"Pooled mean (Fisher's Z)",-0.1251365,-0.130754073832277,0.0056175738322766
"IID effect-size variance",0.068188876909,0.0629793344264729,0.00520954248252713
"Non-phylogenetic species variance",0.069749338201,0.0777193785188557,-0.00797004031785567
"Phylogenetic species variance",0.06660890001,0.0533847896695334,0.0132241103404666
