"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",-0.108458223160575,-0.101131648064973,-0.173215959638707,-0.0323575965581694,0.576
"standard_deviation",0.460605827947191,0.459891991669046,0.401519744216665,0.518947500388995,0.49
