"site_key","latitude","longitude"
"-33.89769650_150.97136150",-33.8976965,150.9713615
"-33.91000000_22.79000000",-33.91,22.79
"-33.95000000_18.92000000",-33.95,18.92
"-34.20000000_148.35000000",-34.2,148.35
"-34.20336400_24.83351500",-34.203364,24.833515
"-34.66000000_117.01000000",-34.66,117.01
"-34.73333300_116.20000000",-34.733333,116.2
"-35.00000000_-67.65000000",-35,-67.65
"-35.15276500_150.71296800",-35.152765,150.712968
"-35.26000000_148.82000000",-35.26,148.82
"-35.66000000_-72.26000000",-35.66,-72.26
"-35.66000000_148.94000000",-35.66,148.94
"-36.62000000_146.53000000",-36.62,146.53
"-36.78333300_146.56666700",-36.783333,146.566667
"-36.98000000_147.14000000",-36.98,147.14
"-37.31000000_145.64000000",-37.31,145.64
"-37.33333300_-58.41666700",-37.333333,-58.416667
"-37.40000000_144.25000000",-37.4,144.25
"-37.43000000_145.31000000",-37.43,145.31
"-37.47000000_145.53000000",-37.47,145.53
"-37.50000000_145.57000000",-37.5,145.57
"-37.50000000_145.60000000",-37.5,145.6
"-37.51000000_145.45000000",-37.51,145.45
"-37.51000000_145.72000000",-37.51,145.72
"-37.56000000_149.64000000",-37.56,149.64
"-37.60000000_143.12000000",-37.6,143.12
"-37.65000000_145.56666700",-37.65,145.566667
"-37.81000000_146.77000000",-37.81,146.77
"-37.81666700_144.51666700",-37.816667,144.516667
"-37.88333300_146.65000000",-37.883333,146.65
"-37.93805600_146.57750000",-37.938056,146.5775
"-37.95000000_146.46666700",-37.95,146.466667
"-37.99000000_145.86000000",-37.99,145.86
"-38.00000000_-71.00000000",-38,-71
"-38.20000000_-71.80000000",-38.2,-71.8
"-38.75000000_-63.75000000",-38.75,-63.75
"-38.79000000_-71.51000000",-38.79,-71.51
"-38.80000000_-71.50000000",-38.8,-71.5
"-4.30000000_-79.37000000",-4.3,-79.37
"-41.04833300_-71.55944400",-41.048333,-71.559444
"-41.70000000_146.25000000",-41.7,146.25
"-42.29000000_146.09000000",-42.29,146.09
"0.28000000_37.86666770",0.28,37.8666677
"11.00000000_77.08333300",11,77.083333
"11.55000000_76.51666700",11.55,76.516667
"11.57250000_76.50638900",11.5725,76.506389
"12.00000000_77.56666700",12,77.566667
"15.67000000_99.17000000",15.67,99.17
"16.25000000_-93.55000000",16.25,-93.55
"19.36666700_-98.70000000",19.366667,-98.7
"19.40000000_-155.15000000",19.4,-155.15
"19.61000000_-103.90000000",19.61,-103.9
"19.86666700_-98.08333300",19.866667,-98.083333
"20.30000000_-104.03000000",20.3,-104.03
"20.61000000_-103.60000000",20.61,-103.6
"23.73000000_-105.42000000",23.73,-105.42
"24.61666700_79.93333300",24.616667,79.933333
"25.13472200_102.27444400",25.134722,102.274444
"27.16666700_-81.35000000",27.166667,-81.35
"27.17000000_-81.35000000",27.17,-81.35
"28.73000000_-81.48000000",28.73,-81.48
"29.50000000_79.50000000",29.5,79.5
"30.00000000_-91.50000000",30,-91.5
"30.10000000_-97.26666700",30.1,-97.266667
"30.11000000_-97.26000000",30.11,-97.26
"30.11222200_-97.26055600",30.112222,-97.260556
"30.17000000_101.23000000",30.17,101.23
"30.50000000_-88.00000000",30.5,-88
"30.65000000_-84.21000000",30.65,-84.21
"30.68000000_-90.48000000",30.68,-90.48
"30.68333300_-90.48333300",30.683333,-90.483333
"31.16666700_-85.25000000",31.166667,-85.25
"31.88333300_-109.35000000",31.883333,-109.35
"31.93333300_-81.60000000",31.933333,-81.6
"32.00555600_-109.35666700",32.005556,-109.356667
"32.29000000_35.82000000",32.29,35.82
"32.61666700_-106.66666700",32.616667,-106.666667
"32.61666700_-116.83333300",32.616667,-116.833333
"32.71666700_35.01666700",32.716667,35.016667
"32.72000000_35.02000000",32.72,35.02
"33.06666700_-79.75000000",33.066667,-79.75
"33.09000000_47.33000000",33.09,47.33
"33.10000000_47.31666700",33.1,47.316667
"33.14000000_-79.82000000",33.14,-79.82
"33.33333300_-81.66666700",33.333333,-81.666667
"33.35000000_-116.56666700",33.35,-116.566667
"33.37555600_-116.62083300",33.375556,-116.620833
"33.41666700_-117.06666700",33.416667,-117.066667
"33.58333300_-84.33333300",33.583333,-84.333333
"33.76666700_46.41666700",33.766667,46.416667
"33.78333300_46.43333300",33.783333,46.433333
"33.85000000_-99.43000000",33.85,-99.43
"33.86666700_-100.00000000",33.866667,-100
"34.00000000_-112.00000000",34,-112
"34.00000000_-117.75000000",34,-117.75
"34.08333300_-78.30000000",34.083333,-78.3
"34.11000000_-78.26000000",34.11,-78.26
"34.18027800_-110.64472200",34.180278,-110.644722
"34.18333300_-110.65000000",34.183333,-110.65
"34.21000000_-117.92000000",34.21,-117.92
"34.23333300_-118.10000000",34.233333,-118.1
"34.40000000_-81.21666700",34.4,-81.216667
"34.60054400_-77.31186200",34.600544,-77.311862
"34.74000000_-120.47000000",34.74,-120.47
"34.86388900_46.51722200",34.863889,46.517222
"34.96666700_-111.55000000",34.966667,-111.55
"35.10000000_-79.20000000",35.1,-79.2
"35.11943200_-79.25000000",35.119432,-79.25
"35.32000000_-120.25000000",35.32,-120.25
"35.42000000_-111.92000000",35.42,-111.92
"35.59000000_-83.54000000",35.59,-83.54
"35.62000000_-96.05000000",35.62,-96.05
"35.65000000_-120.98333300",35.65,-120.983333
"35.86666700_-106.31666700",35.866667,-106.316667
"35.88333300_-106.30000000",35.883333,-106.3
"36.14000000_-115.43000000",36.14,-115.43
"36.30000000_-105.39000000",36.3,-105.39
"36.55000000_-118.70000000",36.55,-118.7
"36.58333300_-118.76666700",36.583333,-118.766667
"36.81666700_31.80000000",36.816667,31.8
"36.86666700_-118.58333300",36.866667,-118.583333
"36.90000000_-90.32000000",36.9,-90.32
"36.91666700_-90.25000000",36.916667,-90.25
"36.91666700_139.50000000",36.916667,139.5
"36.98000000_-118.91000000",36.98,-118.91
"37.06000000_-6.66000000",37.06,-6.66
"37.06000000_49.51000000",37.06,49.51
"37.12000000_-91.06000000",37.12,-91.06
"37.23000000_129.30000000",37.23,129.3
"37.26666700_129.01666700",37.266667,129.016667
"37.30000000_129.30000000",37.3,129.3
"37.78250000_20.77280000",37.7825,20.7728
"37.82000000_-83.67000000",37.82,-83.67
"37.88000000_-83.72000000",37.88,-83.72
"38.10000000_-83.50000000",38.1,-83.5
"38.11666700_-119.95000000",38.116667,-119.95
"38.37000000_-1.61000000",38.37,-1.61
"38.40000000_-79.76666700",38.4,-79.766667
"38.42972200_-1.75916700",38.429722,-1.759167
"38.48000000_-1.83000000",38.48,-1.83
"38.67000000_-0.57000000",38.67,-0.57
"38.70138900_-112.81916700",38.701389,-112.819167
"38.71666700_-82.51666700",38.716667,-82.516667
"38.75000000_-120.33000000",38.75,-120.33
"38.86000000_-120.31000000",38.86,-120.31
"38.92000000_-82.50000000",38.92,-82.5
"39.02000000_-78.64000000",39.02,-78.64
"39.08000000_-96.58000000",39.08,-96.58
"39.08333300_-96.58333300",39.083333,-96.583333
"39.09305600_-96.55833300",39.093056,-96.558333
"39.11000000_-96.61000000",39.11,-96.61
"39.20000000_-0.91666700",39.2,-0.916667
"39.20000000_-120.60000000",39.2,-120.6
"39.21000000_-105.42000000",39.21,-105.42
"39.31000000_-121.23000000",39.31,-121.23
"39.68333300_-8.16666700",39.683333,-8.166667
"39.75000000_-0.71666700",39.75,-0.716667
"40.05000000_-121.13000000",40.05,-121.13
"40.18000000_0.10000000",40.18,0.1
"40.19314100_-5.00000000",40.193141,-5
"40.21666700_-105.61666700",40.216667,-105.616667
"40.38305600_-5.11555600",40.383056,-5.115556
"40.49000000_-121.02000000",40.49,-121.02
"40.52000000_-121.42000000",40.52,-121.42
"40.54000000_-122.74000000",40.54,-122.74
"40.58000000_-123.52000000",40.58,-123.52
"41.16666700_-86.96666700",41.166667,-86.966667
"41.21666700_-117.76666700",41.216667,-117.766667
"41.28333300_1.90000000",41.283333,1.9
"41.29346100_1.87723500",41.293461,1.877235
"41.68000000_2.22000000",41.68,2.22
"41.70000000_1.91666700",41.7,1.916667
"41.75000000_1.98333300",41.75,1.983333
"41.77000000_2.86000000",41.77,2.86
"41.83333300_-88.23333300",41.833333,-88.233333
"41.97000000_1.41000000",41.97,1.41
"42.00000000_1.56666700",42,1.566667
"42.03000000_-75.43000000",42.03,-75.43
"42.13000000_-7.44000000",42.13,-7.44
"42.15000000_-6.25000000",42.15,-6.25
"42.15000000_1.63000000",42.15,1.63
"42.16666700_-123.81666700",42.166667,-123.816667
"42.19000000_-4.23000000",42.19,-4.23
"42.22500000_-6.56222200",42.225,-6.562222
"42.23000000_-6.77000000",42.23,-6.77
"42.25000000_-6.20000000",42.25,-6.2
"42.26000000_-8.86000000",42.26,-8.86
"42.31666700_-6.21666700",42.316667,-6.216667
"42.42000000_-1.25000000",42.42,-1.25
"42.73333300_-7.90000000",42.733333,-7.9
"42.81666700_-118.88333300",42.816667,-118.883333
"42.95000000_-9.10000000",42.95,-9.1
"42.96666700_-122.81666700",42.966667,-122.816667
"43.00000000_-116.00000000",43,-116
"43.12833300_-122.87444400",43.128333,-122.874444
"43.27717800_6.38424000",43.277178,6.38424
"43.28000000_6.39000000",43.28,6.39
"43.33333300_-110.13333300",43.333333,-110.133333
"43.50000000_-8.63333300",43.5,-8.633333
"43.71666700_-122.21666700",43.716667,-122.216667
"43.75000000_-103.81666700",43.75,-103.816667
"43.76666700_-121.98333300",43.766667,-121.983333
"43.80000000_-103.88333300",43.8,-103.883333
"43.90722200_-121.65388900",43.907222,-121.653889
"44.09000000_-123.41000000",44.09,-123.41
"44.10000000_-118.83000000",44.1,-118.83
"44.28333300_-121.95000000",44.283333,-121.95
"44.47000000_-110.81000000",44.47,-110.81
"44.55200000_-121.40000000",44.552,-121.4
"44.55555600_-0.11111100",44.555556,-0.111111
"44.63000000_-110.79000000",44.63,-110.79
"44.82000000_-103.85000000",44.82,-103.85
"44.82000000_-110.34000000",44.82,-110.34
"44.90000000_7.22000000",44.9,7.22
"44.91666700_-72.91666700",44.916667,-72.916667
"45.35000000_-115.28333300",45.35,-115.283333
"45.40000000_-93.20000000",45.4,-93.2
"45.41666700_-93.16666700",45.416667,-93.166667
"45.42000000_-93.17000000",45.42,-93.17
"45.43000000_-115.91000000",45.43,-115.91
"45.57000000_-121.73000000",45.57,-121.73
"45.58333300_-93.16666700",45.583333,-93.166667
"45.75000000_7.50000000",45.75,7.5
"46.00000000_-114.00000000",46,-114
"46.00000000_-115.00000000",46,-115
"46.11000000_-117.85000000",46.11,-117.85
"46.41666700_-122.43333300",46.416667,-122.433333
"46.45000000_-115.60000000",46.45,-115.6
"46.59166700_-116.24222200",46.591667,-116.242222
"46.70000000_-111.70000000",46.7,-111.7
"46.91666700_-112.98333300",46.916667,-112.983333
"47.00000000_-116.00000000",47,-116
"47.32861100_-94.51500000",47.328611,-94.515
"47.45000000_-76.33000000",47.45,-76.33
"47.58000000_133.63000000",47.58,133.63
"47.66666700_-94.08333300",47.666667,-94.083333
"47.69972200_-98.66333300",47.699722,-98.663333
"47.72000000_-113.24000000",47.72,-113.24
"47.92000000_-120.53000000",47.92,-120.53
"48.35000000_-120.55000000",48.35,-120.55
"48.49000000_-120.51000000",48.49,-120.51
"48.50000000_-54.00000000",48.5,-54
"48.50000000_-95.00000000",48.5,-95
"48.58333300_-117.43333300",48.583333,-117.433333
"48.62000000_87.27000000",48.62,87.27
"49.16666700_-79.28333300",49.166667,-79.283333
"49.25000000_-89.75000000",49.25,-89.75
"49.38000000_123.50000000",49.38,123.5
"49.45000000_-78.31000000",49.45,-78.31
"49.50000000_-79.25000000",49.5,-79.25
"49.56666700_28.15000000",49.566667,28.15
"50.00000000_-79.18000000",50,-79.18
"50.13000000_19.32000000",50.13,19.32
"50.13000000_19.33000000",50.13,19.33
"50.43333300_-89.41666700",50.433333,-89.416667
"50.58333300_-95.90000000",50.583333,-95.9
"50.78333300_14.33333300",50.783333,14.333333
"50.83000000_-96.16000000",50.83,-96.16
"51.00000000_-120.00000000",51,-120
"51.29000000_125.33000000",51.29,125.33
"51.50000000_123.00000000",51.5,123
"51.58000000_122.97000000",51.58,122.97
"51.88000000_122.83000000",51.88,122.83
"54.54000000_-126.90000000",54.54,-126.9
"54.70000000_25.13333300",54.7,25.133333
"55.74000000_-3.65805600",55.74,-3.658056
"55.74000000_-3.66000000",55.74,-3.66
"56.75000000_-111.31000000",56.75,-111.31
"57.18000000_-3.65000000",57.18,-3.65
"57.50000000_-111.33333300",57.5,-111.333333
"57.54000000_-111.33000000",57.54,-111.33
"58.01666700_-111.23333300",58.016667,-111.233333
"58.70000000_98.42000000",58.7,98.42
"59.80000000_16.10000000",59.8,16.1
"6.40000000_80.50000000",6.4,80.5
"60.00000000_-128.00000000",60,-128
"60.40000000_-112.76000000",60.4,-112.76
"60.63333300_89.73333300",60.633333,89.733333
"60.78333300_-115.76666700",60.783333,-115.766667
"61.32000000_-135.60000000",61.32,-135.6
"62.12000000_-135.28000000",62.12,-135.28
"62.41666700_-114.41666700",62.416667,-114.416667
"62.55000000_-113.33333300",62.55,-113.333333
"62.85000000_-145.02000000",62.85,-145.02
"63.72000000_-142.84000000",63.72,-142.84
"63.72000000_-148.97000000",63.72,-148.97
"63.83000000_-145.67000000",63.83,-145.67
"63.90000000_-145.73000000",63.9,-145.73
"64.12000000_-145.36000000",64.12,-145.36
"64.25000000_19.75000000",64.25,19.75
"64.26000000_-144.85000000",64.26,-144.85
"64.46000000_-144.77000000",64.46,-144.77
"64.68000000_-147.73000000",64.68,-147.73
"64.90000000_-147.90000000",64.9,-147.9
"65.06700000_-146.01000000",65.067,-146.01
"65.17000000_-147.52000000",65.17,-147.52
"65.58000000_-144.97000000",65.58,-144.97
"65.59000000_-144.90000000",65.59,-144.9
"65.67000000_-162.98000000",65.67,-162.98
"65.69000000_-149.16000000",65.69,-149.16
"65.70000000_-149.19000000",65.7,-149.19
"66.12000000_-137.27000000",66.12,-137.27
"67.50000000_-162.80000000",67.5,-162.8
"68.58305600_-149.71694400",68.583056,-149.716944
"68.74000000_161.40000000",68.74,161.4
"8.15000000_34.56666700",8.15,34.566667
