"model","solution","component","marginal_variance","generalized_v_tilde","I2_percent","logLik_REML","AIC_REML","rho_km"
"spatial_only_spgau","primary","total",2.03103512452759,0.111123796928008,94.8125325429871,-4034.34126928666,8076.68253857332,0.362201091937189
"spatial_only_spgau","primary","effect_size",0.793838787774536,0.111123796928008,37.0578849133716,-4034.34126928666,8076.68253857332,0.362201091937189
"spatial_only_spgau","primary","spatial",1.23719633675305,0.111123796928008,57.7546476296155,-4034.34126928666,8076.68253857332,0.362201091937189
"combined_spgau","fixed200_start","total",1.9980858353988,0.111123796928008,94.7314958539508,-4017.42687118915,8044.8537423783,312.357141623324
"combined_spgau","fixed200_start","effect_size",0.775543299143913,0.111123796928008,36.7693797362551,-4017.42687118915,8044.8537423783,312.357141623324
"combined_spgau","fixed200_start","study",1.13951796600728,0.111123796928008,54.0258278998189,-4017.42687118915,8044.8537423783,312.357141623324
"combined_spgau","fixed200_start","spatial",0.0830245702476023,0.111123796928008,3.93628821787679,-4017.42687118915,8044.8537423783,312.357141623324
"combined_spgau","intermediate800_start","total",1.99808164196412,0.111123796928008,94.7314853793296,-4017.42687118839,8044.85374237679,312.354879866345
"combined_spgau","intermediate800_start","effect_size",0.775543397792789,0.111123796928008,36.7694575166725,-4017.42687118839,8044.85374237679,312.354879866345
"combined_spgau","intermediate800_start","study",1.13951434814099,0.111123796928008,54.0257637842773,-4017.42687118839,8044.85374237679,312.354879866345
"combined_spgau","intermediate800_start","spatial",0.083023896030342,0.111123796928008,3.93626407837971,-4017.42687118839,8044.85374237679,312.354879866345
"combined_spgau","primary3091_start","total",2.0250079752594,0.111123796928008,94.7978959737013,-4017.81107127865,8045.62214255731,3090.79583253413
"combined_spgau","primary3091_start","effect_size",0.775206707271178,0.111123796928008,36.2902100593431,-4017.81107127865,8045.62214255731,3090.79583253413
"combined_spgau","primary3091_start","study",1.21321975931966,0.111123796928008,56.7951741140632,-4017.81107127865,8045.62214255731,3090.79583253413
"combined_spgau","primary3091_start","spatial",0.0365815086685606,0.111123796928008,1.71251180029502,-4017.81107127865,8045.62214255731,3090.79583253413
