"value","logLik_REML","delta_logLik"
0.0182907543342803,-4017.90468717292,0.092774253749667
0.0233975821883878,-4017.85417354759,0.042260628429176
0.0285044100424953,-4017.82558914704,0.013676227869837
0.0336112378966027,-4017.81285157572,0.000938656557991635
0.0387180657507102,-4017.81191291917,0
0.0438248936048177,-4017.81998089693,0.00806797776658641
0.0489317214589252,-4017.83506211956,0.023149200397711
0.0540385493130327,-4017.85568742806,0.043774508892966
0.0591453771671401,-4017.88074264022,0.0688297210563178
0.0642522050212476,-4017.90936149132,0.0974485721590099
0.0693590328753551,-4017.94085553628,0.128942617112443
0.0744658607294626,-4017.97466808392,0.162755164755254
0.0795726885835701,-4018.0103413157,0.198428396533927
0.0846795164376776,-4018.04749388774,0.23558096857596
0.089786344291785,-4018.08580441541,0.273891496247415
0.0948931721458925,-4018.12499936921,0.313086450043556
0.1,-4018.16484402293,0.35293110376324
