"value","logLik_REML","delta_logLik"
1545.39791626706,-4017.95938442532,0.147602505332088
1835.16002556714,-4017.92749974571,0.115717825719457
2124.92213486721,-4017.88500930825,0.0732273882604204
2414.68424416729,-4017.8477977526,0.0360158326102464
2704.44635346736,-4017.82285413451,0.0110722145182081
2994.20846276744,-4017.81178191999,0
3283.97057206751,-4017.81378536107,0.00200344108588979
3573.73268136758,-4017.82713005723,0.015348137242654
3863.49479066766,-4017.84978510255,0.0380031825634433
4153.25689996773,-4017.87980454409,0.0680226241029231
4443.01900926781,-4017.91557332054,0.103791400550563
4732.78111856788,-4017.95586564679,0.144083726802819
5022.54322786796,-4017.99971061407,0.187928694083894
5312.30533716803,-4018.04614180365,0.234359883661455
5602.06744646811,-4018.09393590059,0.282153980605472
5891.82955576818,-4018.14145038983,0.329668469842545
6181.59166506825,-4018.18670086819,0.374918948202321
