species,slope,slope_SE,mass_f,id_population,id_species,broods,migr2,meanFED,meanFED_SE,duration,duration_SE,losses,losses_SE,clutch,clutch_se,t1_slope,t2_slope,t4_slope
Circus_pygargus,-0.0402,0.0432,370,38,25,0,1,0.01,0.014,0.339,0.397,0.002,0.004,0.029447682,0.043700967,0.054035088,0.002105263,0.041403509
Circus_pygargus,-0.1241,0.01504,370,39,25,0,1,0.013,0.148,0.26,0.299,3.413,1.071,-0.004468979,0.034778555,0.105864662,0.058646617,0.070225564
Aquila_clanga,-0.0524,0.07181,1540,40,26,0,1,0.078,0.228,0.786,0.802,0.346,1.437,NA,NA,0.156127451,0.023529412,0.013519092
Aquila_pomarina,-0.0543,0.0508,1540,41,27,0,1,NA,NA,NA,NA,0.398,0.433,NA,NA,0.009313725,-0.079357298,-0.025122549
Colaptes_auratus,-0.0658,0.05524,129,42,28,0,1,-0.164,0.176,0.046,0.39,0.403,0.594,-0.034042488,0.057258769,-0.072352941,-0.007058824,-0.002009804
Corvus_corone,-0.0158,0.0307,570,43,29,0,1,0.206,0.607,-1.424,0.348,-0.575,0.44,-0.0068,0.03,-0.090086957,-0.093478261,0.009728261
Parus_caeruleus,0.00345,0.01874,13.3,44,30,0,0,-0.395,0.119,0.039,0.193,0.044,0.291,0.034300483,0.016969985,-0.008347657,0.053391971,0.060876755
Parus_caeruleus,0.01661,0.01863,13.3,45,30,0,0,-0.144,0.136,-0.339,0.271,-0.255,0.227,0.001795476,0.018859573,0.046826376,0.072801136,0.048645042
Parus_caeruleus,0.06449,0.06544,13.3,46,30,0,0,-0.227,0.159,-0.17,0.403,-0.534,0.384,-0.041664992,0.067461812,0.093823529,0.063235294,0.062647059
Parus_caeruleus,-0.0135,0.01012,13.3,47,30,0,0,-0.258,0.05,0.059,0.063,0.104,0.08,0.015205278,0.010072925,0.037728022,0.073498226,0.03848554
Parus_caeruleus,0.02442,0.00975,13.3,48,30,0,0,-0.228,0.053,-0.042,0.062,0.14,0.111,-0.00200997,0.010310045,0.037728022,0.073498226,0.03848554
