species,slope,slope_SE,mass_f,id_population,id_species,broods,migr2,meanFED,meanFED_SE,duration,duration_SE,losses,losses_SE,clutch,clutch_se,t1_slope,t2_slope,t4_slope
Sterna_dougallii,-0.0789,0.02378,110,162,86,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.002878438,0.015615385,0.001179487
Sterna_dougallii,0.00691,0.03341,110,163,86,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.022076923,-0.000692308,0.009666667
Sterna_dougallii,0.0058,0.03492,110,164,86,0,1,0.144,0.354,NA,NA,-0.308,0.999,-0.058186142,0.058674389,-0.003502415,0.025256039,0.009958937
Sterna_hirundo,-0.0507,0.02517,120,165,87,0,1,0.078,0.113,1.478,0.274,0.627,0.568,-0.054597504,0.024830165,0.020512821,-0.002495726,0.004330484
Strix_aluco,0.02378,0.02384,524,166,88,0,0,-0.611,0.233,0.583,0.706,-0.095,0.149,0.027909019,0.023648338,-0.128439006,-0.020177976,0.015823137
Strix_aluco,-0.0215,0.01361,524,167,88,0,0,-0.253,0.144,-0.202,0.276,0.003,0.001,-0.005787019,0.014021788,0.078902439,0.047270169,0.031629143
Strix_aluco,-0.008,0.02071,524,168,88,0,0,-0.091,0.185,-0.351,0.239,-0.001,0.158,-0.024183366,0.020269873,0.054144265,0.041644265,0.044254032
Strix_uralensis,0.00854,0.01346,863,169,89,0,0,-0.276,0.123,0.092,0.134,0.001,0.126,0.006216935,0.013496635,0.123606272,0.042543554,0.021788618
Sturnus_unicolor,0.0209,0.05243,85.5,170,90,1,0,-0.012,0.22,-0.157,0.463,0.798,0.306,-0.04424541,0.051451602,-0.035703701,0.035153398,-0.01631811
Sturnus_vulgaris,0.01691,0.03008,79.9,171,91,0,1,-0.01,0.108,0.025,0.074,-0.155,0.281,-0.039405541,0.02881822,0.075080581,0.044785015,0.113118044
Sula_nebouxii,-0.0517,0.02509,1530,172,92,0,0,0.365,0.926,-0.801,1.185,1.497,0.595,-0.024254337,0.026762462,0.006290598,-0.021846154,0.003779332
Synthliboramphus_antiquus,0.07926,0.03324,206,173,93,0,0,-0.294,0.142,3.688,0.548,-0.383,0.258,0.066119076,0.034717654,0.034271284,0.043650794,0.029220779
Synthliboramphus_antiquus,0.04421,0.022,206,174,93,0,0,-0.348,0.111,0.059,0.125,-0.255,0.106,0.031931911,0.021047078,0.010725806,0.033669355,0.02719086
Tachycineta_bicolor,0.00304,0.02567,20.1,175,94,0,1,-0.16,0.076,-0.37,0.142,0.004,0.613,0.048883876,0.023743532,0.032861891,0.118418231,0.093522848
Tachycineta_bicolor,0.00512,0.04086,20.1,176,94,0,1,-0.059,0.149,-0.413,0.261,0.039,0.896,-0.039268851,0.039814253,0.062406015,-0.034252297,-0.064223058
Tachymarptis_melba,0.01578,0.04071,104,177,95,0,1,-0.106,0.217,0.55,0.556,0.0001,0.005,0.009936488,0.040808805,0.07222807,-0.067960223,0.051038375
Tachymarptis_melba,-0.0272,0.04379,104,178,95,0,1,0.018,0.231,-0.218,0.441,0.881,0.788,-0.055992561,0.042146918,0.071695906,-0.046830787,0.04638369
Tetrao_tetrix,0.03152,0.01426,910,179,96,0,0,-0.121,NA,NA,NA,-0.294,0.21,NA,NA,0.069032279,0.069032279,0.032362184
Tetrao_urogallus,0.03427,0.01408,1800,180,97,0,0,-0.121,0.029,NA,NA,-0.468,0.188,NA,NA,0.069032279,0.069032279,0.032362184
Tetrao_urogallus,-0.095,0.02321,1800,181,97,0,0,NA,NA,NA,NA,0.089,0.006,NA,NA,0.036763285,0.018236715,-0.01031401
Thalassarche_chrysostoma,-0.0277,0.02366,3264,182,98,0,1,-0.058,0.023,-0.061,0.091,0.006,0.005,NA,NA,0.043329291,0.039854384,0.019061659
Thalassarche_melanophrys,0.00486,0.018,3206,183,99,0,1,-0.058,0.02,0.041,0.076,-0.001,0.003,NA,NA,0.016076404,0.04939232,0.010798909
Troglodytes_aedon,0.01356,0.01444,10.9,184,100,1,1,-0.222,0.061,0.021,0.084,-0.061,0.19,0.013560465,0.014436113,0.015791204,0.043043684,0.011554845
Turdus_merula,-0.0312,0.0372,113,185,101,1,1,-0.134,0.308,0.909,0.596,0.313,0.237,-0.025640016,0.037427345,0.02950938,0.020151515,0.021096681
Tyto_alba,0.03289,0.02341,350,186,102,1,0,-0.143,0.253,0.774,0.637,0.445,0.201,0.062279202,0.020982567,-0.030114944,-0.021936392,0.036981288
Tyto_alba,-0.072,0.06101,350,187,102,0,0,0.294,0.373,0.093,1.967,0.089,0.381,NA,NA,-0.040357143,0.082678571,0.106160714
Uria_aalge,-0.035,0.01538,979,188,103,0,1,-0.005,0.076,-0.163,0.113,0.423,0.185,NA,NA,0.025817246,0.042097812,0.008806902
Uria_aalge,-0.0394,0.01488,979,189,103,0,1,-0.004,0.098,0.421,0.218,0.64,0.242,NA,NA,-0.004610647,0.000567215,0.01551333
Uria_aalge,-0.0276,0.03254,979,190,103,0,1,-0.06,0.283,-0.187,0.462,0.909,1.071,NA,NA,0.02431928,0.031236276,0.039415898
Uria_aalge,-0.0242,0.01787,979,191,103,0,1,0.0111,0.082,0.005,0.133,0.374,0.276,NA,NA,0.011909582,0.015283401,0.015412731
Uria_aalge,-0.0175,0.03025,979,192,103,0,1,0.319,0.187,-0.42,0.242,0.334,0.578,NA,NA,0.038418803,0.016068376,0.024444444
Uria_aalge,-0.0336,0.0157,979,193,103,0,1,0.098,0.077,-0.475,0.282,0.606,0.299,NA,NA,0.018351214,0.028345567,0.056339795
Uria_aalge,-0.0285,0.02725,979,194,103,0,1,0.135,0.192,0.232,0.184,0.865,0.749,NA,NA,0.018914956,0.034182551,0.035153959
Uria_lomvia,-0.049,0.01478,964,195,104,0,1,-0.0004,0.089,0.084,0.139,0.808,0.244,NA,NA,0.018351214,0.028345567,0.056339795
Uria_lomvia,-0.0251,0.01443,964,196,104,0,1,0.178,0.08,0.321,0.126,0.358,0.206,NA,NA,-0.004610647,0.000567215,0.01551333
Uria_lomvia,-0.0531,0.03092,964,197,104,0,1,NA,NA,NA,NA,1.317,1.316,NA,NA,0.02431928,0.031236276,0.039415898
Uria_lomvia,-0.0703,0.01733,964,198,104,0,1,0.2,0.076,-0.156,0.154,0.747,0.184,NA,NA,0.018180695,0.023606476,0.024001978
Uria_lomvia,-0.0305,0.01738,964,199,104,0,1,0.086,0.073,0.017,0.136,0.463,0.264,NA,NA,0.011909582,0.015283401,0.015412731
Uria_lomvia,0.00507,0.03046,964,200,104,0,1,0.379,0.183,0.266,0.239,-0.099,0.593,NA,NA,0.038418803,0.016068376,0.024444444
Uria_lomvia,-0.0117,0.02794,964,201,104,0,1,0.065,0.14,0.149,0.14,0.337,0.703,NA,NA,0.018914956,0.034182551,0.035153959
