"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00036812574347,7337.23930925686,7065.44579331792
"b_environmentwild",1.00006553919544,7555.63896118575,11236.9388433024
"sigma",1.0017227949178,1302.41503370075,2746.36156436562
"sd_species__Intercept",1.00163823822647,1253.64200180939,1773.72158083792
"sd_phy__Intercept",1.00185631823303,1545.49261266194,2380.16516513158
