"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",-0.108458223160575,-0.108694957951367,-0.158260752743358,-0.0502765376354424,0.498
"standard_deviation",0.460605827947191,0.460898386750039,0.416801613111612,0.512010770500356,0.504
"mean_contrast_wild_minus_captive",0.0942730899878198,0.093043719034601,-0.015497412845063,0.207582809254714,0.494
