"x"
"Bombycilla cedrorum"
"Turdus migratorius"
"Vireo solitarius"
"Oreothlypis ruficapilla"
"Poecile atricapillus"
"Contopus cooperi"
"Setophaga townsendi"
"Poecile rufescens"
"Sphyrapicus ruber"
"Empidonax minimus"
"Setophaga magnolia"
"Geothlypis philadelphia"
"Spizella pallida"
"Empidonax hammondii"
"Spinus pinus"
"Sitta canadensis"
"Haemorhous purpureus"
"Melospiza georgiana"
"Sphyrapicus varius"
"Setophaga coronata"
"Troglodytes pacificus"
"Zonotrichia albicollis"
"Regulus satrapa"
"Catharus guttatus"
"Oreothlypis celata"
"Catharus ustulatus"
"Junco hyemalis"
"Regulus calendula"
"Setophaga striata"
"Parkesia noveboracensis"
"Zonotrichia leucophrys"
"Melospiza lincolnii"
"Passerculus sandwichensis"
"Ixoreus naevius"
"Perisoreus canadensis"
"Poecile hudsonicus"
"Passerella iliaca"
"Zonotrichia atricapilla"
"Catharus minimus"
"Phylloscopus borealis"
"Spizelloides arborea"
"Falco tinnunculus"
"Accipiter nisus"
"Erythropygia galactotes"
"Bostrychia hagedash"
"Haematopus ostralegus"
"Haliaeetus albicilla"
"Strix aluco"
"Alophoixus phaeocephalus"
"Tricholestes criniger"
"Pellorneum capistratum"
"Malacocincla malaccensis"
"Trichastoma bicolor"
"Malacopteron magnirostre"
"Malacopteron cinereum"
"Stachyris maculata"
"Stachyris nigricollis"
"Stachyris erythroptera"
"Macronous ptilosus"
"Copsychus malabaricus"
"Philentoma pyrhoptera"
"Arachnothera longirostra"
"Deconychura longicauda"
"Dendrocincla merula"
"Thamnomanes schistogynus"
"Myrmotherula menetriesii"
"Myrmeciza hyperythra"
"Phlegopsis nigromaculata"
"Pipra fasciicauda"
"Cyphorhinus arada"
"Neophron percnopterus"
"Burhinus oedicnemus"
"Athene noctua"
"Aquila fasciata"
"Falco naumanni"
"Charadrius nivosus"
"Calidris mauri"
"Xiphorhynchus guttatus"
"Ceratopipra erythrocephala"
"Manacus manacus"
"Turdus fumigatus"
"Turdus nudigenis"
"Pheugopedius rutilus"
"Coereba flaveola"
"Tachyphonus luctuosus"
"Tachyphonus rufus"
"Thraupis palmarum"
"Euphonia violacea"
"Tangara gyrola"
"Cyanerpes caeruleus"
"Acrocephalus scirpaceus"
"Xiphorhynchus pardalotus"
"Gymnopithys rufigula"
"Epinecrophylla gutturalis"
"Lepidothrix serena"
"Thamnophilus punctatus"
"Myrmotherula fulviventris"
"Myrmornis torquata"
"Manacus vitellinus"
"Schiffornis turdina"
"Myiobius sulphureipygius"
"Lanius collurio"
"Sylvia nisoria"
"Calidris temminckii"
"Turtur tympanistria"
"Trichastoma rufipennis"
"Andropadus virens"
"Andropadus masukuensis"
"Andropadus milanjensis"
"Phyllastrephus cabanisi"
"Phyllastrephus flavostriatus"
"Phyllastrephus debilis"
"Alethe fuelleborni"
"Modulatrix stictigula"
"Pogonocichla stellata"
"Sheppardia sharpei"
"Turdus roehli"
"Turdus gurneyi"
"Bradypterus barratti"
"Artisornis metopias"
"Phylloscopus ruficapilla"
"Batis mixta"
"Elminia albonotata"
"Nectarinia mediocris"
"Nectarinia olivacea"
"Cryptospiza reichenovii"
"Vireo atricapilla"
"Larus michahellis"
"Chlidonias hybrida"
"Falco columbarius"
"Charadrius marginatus"
"Colius colius"
"Cercotrichas coryphaeus"
"Anthoscopus minutus"
"Cinclus cinclus"
"Oenanthe oenanthe"
"Telophorus zeylonus"
"Cisticola subruficapilla"
"Prinia maculosa"
"Apalis thoracica"
"Sphenoeacus afer"
"Sylvietta rufescens"
"Curruca subcaeruleum"
"Crithagra flaviventris"
"Serinus albogularis"
"Emberiza capensis"
"Pachycephala hypoxantha"
"Rhipidura albicollis"
"Myophonus borneensis"
"Brachypteryx montana"
"Vauriella gularis"
"Ficedula hyperythra"
"Eumyias indigo"
"Enicurus leschenaulti"
"Alophoixus ochraceus"
"Phyllergates cuculatus"
"Seicercus montis"
"Pellorneum pyrrogenys"
"Stachyris nigriceps"
"Yuhina everetti"
"Mionectes olivaceus"
"Zimmerius chrysops"
"Masius chrysopterus"
"Dysithamnus mentalis"
"Myrmotherula schisticolor"
"Synallaxis cinnamomea"
"Myadestes ralloides"
"Catharus aurantiirostris"
"Catharus fuscater"
"Turdus flavipes"
"Turdus olivater"
"Henicorhina leucophrys"
"Atlapetes semirufus"
"Arremon brunneinucha"
"Myioborus miniatus"
"Basileuterus tristriatus"
"Saltator maximus"
"Larus melanocephalus"
"Chiroxiphia linearis"
"Falco concolor"
"Numenius americanus"
"Athene cunicularia"
"Cettia cetti"
"Apus apus"
"Caracara cheriway"
"Thamnophilus murinus"
"Hypocnemis cantator"
"Percnostola rufifrons"
"Myrmeciza ferruginea"
"Conopophaga aurita"
"Certhiasomus stictolaemus"
"Automolus ochrolaemus"
"Mionectes macconnelli"
"Attila spadiceus"
"Corapipo gutturalis"
"Pheugopedius coraya"
"Microbates collaris"
"Haematopus palliatus"
"Ciconia ciconia"
"Ardea cinerea"
"Calidris alpina"
"Charadrius dubius"
"Sterna hirundo"
"Heliodoxa jacula"
"Adelomyia melanogenys"
"Phaethornis baroni"
"Ficedula hypoleuca"
"Hirundo smithii"
"Phyllastrephus terrestris"
"Acrocephalus baeticatus"
"Acrocephalus gracilirostris"
"Apalis flavida"
"Camaroptera brachyura"
"Cisticola erythrops"
"Prinia subflava"
"Cossypha heuglini"
"Nectarinia senegalensis"
"Hedidypna collaris"
"Nectarinia bifasciata"
"Nectarinia cupreus"
"Nectarinia jugularis"
"Ploceus xanthopterus"
"Euplectes capensis"
"Pytilia melba"
"Lagonosticta senegala"
"Lagonosticta rhodopareia"
"Vidua chalybeata"
"Crithagra mozambicus"
"Crithagra sulphuratus"
"Streptoprocne biscutata"
"Circus cyaneus"
"Elaenia albiceps"
"Catharus frantzii"
"Sterna antillarum"
"Accipiter gentilis"
"Larus marinus"
"Thalasseus sandvicensis"
"Delichon urbicum"
"Setophaga kirtlandii"
"Augastes scutatus"
"Coracias garrulus"
"Volatinia jacarina"
"Turdus grayi"
"Ramphocelus passerinii"
"Sporophila corvina"
"Hylocharis leucotis"
"Colibri thalassinus"
"Diglossa baritula"
"Myadestes occidentalis"
"Atlapetes pileatus"
"Catharus occidentalis"
"Charadrius alexandrinus"
"Alophoixus pallidus"
"Buteo swainsoni"
"Buteo regalis"
"Anabacerthia striaticollis"
"Atlapetes melanolaemus"
"Catharus dryas"
"Ceratopipra chloromeros"
"Chiroxiphia boliviana"
"Chlorospingus flavigularis"
"Cinnycerthia fulva"
"Cyphorhinus thoracicus"
"Diglossa cyanea"
"Euphonia xanthogaster"
"Gymnopithys salvini"
"Iridosornis jelskii"
"Kleinothraupis atropileus"
"Lepidothrix coeruleocapilla"
"Leptopogon amaurocephalus"
"Leptopogon superciliaris"
"Mionectes striaticollis"
"Myiothlypis bivittata"
"Myiothlypis luteoviridis"
"Myiothlypis signata"
"Ochthoeca pulchella"
"Premnoplex brunnescens"
"Sphenopsis melanotis"
"Thripadectes melanorhynchus"
"Xiphorhynchus elegans"
"Milvus migrans"
"Moticilla flava"
"Carpodacus erythrinus"
"Iduna caligata"
"Motacilla tschutschensis"
"Acrocephalus dumetorum"
"Caprimulgus europaeus"
"Linaria cannabina"
"Carduelis carduelis"
"Carduelis chloris"
"Emberiza citrinella"
"Passer domesticus"
"Motacilla alba"
"Muscicapa striata"
"Acanthis flammea"
"Milvus milvus"
"Sterna dougallii"
"Phylloscopus reguloides"
"Seicercus castaniceps"
"Seicercus affinis"
"Seicercus poliogenys"
"Abroscopus schisticeps"
"Tesia cyaniventer"
"Tesia olivea"
"Niltava grandis"
"Niltava sundara"
"Cinclidium leucurum"
"Lioparus chrysotis"
"Suthora nipalensis"
"Pseudominla cinerea"
"Pseudominla castaneceps"
"Stachyridopsis ruficeps"
"Stachyridopsis chrysaea"
"Pomatorhinus ruficollis"
"Actinodura egertoni"
"Trochalopteron erythrocephalum"
"Pogoniulus chrysoconus"
"Lybius vieilloti"
"Pycnonotus barbatus"
"Chlorocichla flavicollis"
"Cisticola guinea"
"Cisticola cantans"
"Cisticola aberrans"
"Eremomela pusilla"
"Melocichla mentalis"
"Sylvietta brachyura"
"Cossypha niveicapilla"
"Cercomela familiaris"
"Thamnolaea cinnamomeiventris"
"Turdus pelios"
"Platysteira cyanea"
"Zosterops senegalensis"
"Cyanomitra verticalis"
"Chalcomitra senegalensis"
"Cinnyris venustus"
"Telophorus sulfureopectus"
"Tchagra senegalus"
"Sporopipes frontalis"
"Ploceus luteolus"
"Ploceus nigricollis"
"Ploceus vitellinus"
"Euplectes hordeaceus"
"Euplectes franciscanus"
"Estrilda caerulescens"
"Estrilda troglodytes"
"Uraeginthus bengalus"
"Lagonosticta rufopicta"
