"parameter","brms_posterior_median","metafor_estimate","difference"
"Pooled mean (Fisher's Z)",-0.126465,-0.130754073832277,0.00428907383227659
"IID effect-size variance",0.0670025459585,0.0629793344264729,0.00402321153202713
"Non-phylogenetic species variance",0.072059496725,0.0777193785188557,-0.00565988179385567
"Phylogenetic species variance",0.064900619761,0.0533847896695334,0.0115158300914666
