"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",-0.108458223160575,-0.108732778602112,-0.165386699170819,-0.0538541634271407,0.496
"standard_deviation",0.460605827947191,0.460468193605294,0.410269943403147,0.515771350990909,0.498
