"parameter","rhat","ess_bulk","ess_tail"
"r_id[82,Intercept]",1.00022974276141,20350.5039617874,12591.1292304817
"r_id[83,Intercept]",1.00030885996231,20996.1063405891,12823.4164873226
"r_id[84,Intercept]",1.00012703067925,33751.8551448495,10748.1264872294
"r_id[85,Intercept]",1.00017067583883,21127.6089684607,11447.7366766957
"r_id[86,Intercept]",1.00032739094433,24457.3389716989,13530.2853519363
"r_id[87,Intercept]",1.00042890628472,23203.2173114423,11942.6269647812
"r_id[88,Intercept]",1.00048812672703,28211.3702874077,12509.3384674317
"r_id[89,Intercept]",0.999953945306298,26469.5487568728,12287.1825110463
"r_id[90,Intercept]",0.999941858264607,23441.828552172,12868.7433117336
"r_id[91,Intercept]",1.00003930330391,23444.7576047549,12866.9216132388
"r_id[92,Intercept]",1.00106025570924,33781.0424334668,11994.1684429712
"r_id[93,Intercept]",1.00066189576239,28056.4302359818,12189.773826783
"r_id[94,Intercept]",1.00057721527981,26950.7544556174,11743.1858846555
"r_id[95,Intercept]",0.999898375891498,26494.6413667267,13158.6052752461
"r_id[96,Intercept]",1.00063571646608,20577.0693134804,12199.1854287728
"r_id[97,Intercept]",1.00056206812622,27859.368286261,11695.9285607862
"r_id[98,Intercept]",1.00003070274014,24391.6611305513,12509.1718496692
"r_id[99,Intercept]",1.00025109857355,26518.8092659199,12690.1100331981
"r_id[100,Intercept]",1.00007100726698,24207.9880272949,11713.4326217057
"r_id[101,Intercept]",1.00020206840282,23781.9408365917,12094.8556097365
"r_id[102,Intercept]",1.00045670285824,31422.4148250811,11722.3037927284
"r_id[103,Intercept]",1.00009187794888,29542.1918683012,12338.8317363952
"r_id[104,Intercept]",1.00007520202991,28221.7608905971,11904.0794442313
"r_id[105,Intercept]",1.00030145497267,28184.0072232404,10875.0924298772
"r_id[106,Intercept]",1.00006353372717,24384.8042750912,12507.5087479481
"r_id[107,Intercept]",1.0002574170203,22742.1882394127,12266.5098835821
"r_id[108,Intercept]",1.00048561139163,27956.6590138671,12169.2941401876
"r_id[109,Intercept]",1.00030591419972,29074.3166995485,11281.381487324
"r_id[110,Intercept]",1.00022008886325,7457.5552495126,11747.2483133071
"r_id[111,Intercept]",1.00019907256341,28215.2539633738,11433.9550432495
