"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",-0.108458223160575,-0.106510917378801,-0.164980791263848,-0.0504338118711174,0.526
"standard_deviation",0.460605827947191,0.460923215754036,0.413867075579948,0.517848595943303,0.508
"mean_contrast_wild_minus_captive",0.0942730899878198,0.0929901647145386,-0.0286492047253461,0.21368916799473,0.496
