"parameter","rhat","ess_bulk","ess_tail"
"b_Intercept",1.00093076554347,9220.22249568145,8577.57208019945
"sigma",1.0026259208648,1157.56513745576,2111.64078425479
"sd_species__Intercept",1.00156678934609,1144.13494351754,1319.32471666944
"sd_phy__Intercept",1.0005988252235,2546.63735774264,4081.24953589898
