"parameter","brms_posterior_median","metafor_estimate","difference"
"Pooled mean (Fisher's Z)",-0.123841,-0.130754073832277,0.00691307383227657
"IID effect-size variance",0.0687732267625,0.0629793344264729,0.00579389233602713
"Non-phylogenetic species variance",0.069454912949,0.0777193785188557,-0.00826446556985566
"Phylogenetic species variance",0.0660420622385,0.0533847896695334,0.0126572725689666
