"statistic","observed","replicated_median","lower_95","upper_95","p_replicated_ge_observed"
"mean",-0.108458223160575,-0.108740855033648,-0.163646939957074,-0.0519430577838283,0.496
"standard_deviation",0.460605827947191,0.462108469496875,0.414147794308165,0.51616011978353,0.524
