model,component,parameter,parameter_index,estimate,profile_lower,profile_upper,lower_sign,upper_sign,lower_cutoff_reached,upper_cutoff_reached,lower_is_search_boundary,upper_is_search_boundary,finite_two_sided,search_lower,search_upper,source_profile,profile_status
unstructured_only,Effect-size variance,sigma2,1,0.751559609390475,0.6871587000413892,0.8222189512755721,,,TRUE,TRUE,FALSE,FALSE,TRUE,0,75.15596093904749,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/unstructured_only_sigma2_1.rds,finite two-sided profile interval
unstructured_only,Study variance,sigma2,2,1.1383023209810956,0.939320050630766,1.3804125946314445,,,TRUE,TRUE,FALSE,FALSE,TRUE,0,113.83023209810956,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/unstructured_only_sigma2_2.rds,finite two-sided profile interval
spatial_only,Effect-size variance,sigma2,1,0.7630243076414323,0.6978117369567434,0.8345569325162091,,,TRUE,TRUE,FALSE,FALSE,TRUE,0,76.30243076414322,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/spatial_only_sigma2_1.rds,finite two-sided profile interval
spatial_only,Spatial variance,tau2,1,1.149481395536629,0.9453314583965056,1.3964739334821588,,,TRUE,TRUE,FALSE,FALSE,TRUE,0,114.9481395536629,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/spatial_only_tau2_1.rds,finite two-sided profile interval
spatial_only,Spatial range rho,rho,1,0.13693858165850606,0.0136938581658506,0.6748084507391653,<,,FALSE,TRUE,TRUE,FALSE,FALSE,0,10,reviewer13_figure3_profile_outputs/global_spatial_only_rho_profile.rds,lower side unresolved over searched range
combined,Effect-size variance,sigma2,1,0.7513867010590942,0.6869901303827435,0.8220428556635417,,,TRUE,TRUE,FALSE,FALSE,TRUE,0,75.13867010590943,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/combined_sigma2_1.rds,finite two-sided profile interval
combined,Study variance,sigma2,2,1.0942515941951867,0.7972150506970103,1.340672533490604,,,TRUE,TRUE,FALSE,FALSE,TRUE,0,109.42515941951866,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/combined_sigma2_2.rds,finite two-sided profile interval
combined,Spatial variance,tau2,1,0.04784590178855661,0,10,,>,TRUE,FALSE,FALSE,TRUE,FALSE,0,10,revision_checks/reviewer18_influential_effects_outputs/variance_profile_ci/combined_tau2_1.rds,upper side unresolved over searched range
combined,Spatial range rho,rho,1,2058.9069472474757,205.89069472474756,20589.06947247476,<,>,FALSE,FALSE,TRUE,TRUE,FALSE,0,20589.06947247476,reviewer13_figure3_profile_outputs/global_combined_rho_profile.rds,both sides unresolved over searched range
