target,component,parameter,parameter_index,estimate,ci_lb,ci_ub,lower_bound_sign,upper_bound_sign,lower_reached_search_boundary,upper_reached_search_boundary,finite_two_sided,ci_null,search_min,search_max,root_tolerance,maxiter,eptries,inner_optimizer_maxiter,method,source_fit,elapsed_seconds,warnings,convergence_information,fit_changed
moura_study,Study variance,sigma2,1,0.01915845087030004,0.01080228573415369,0.03245345894252925,NA,NA,FALSE,FALSE,TRUE,FALSE,0.005,0.04,1e-6,1000,10,100,"metafor::confint.rma.mv(), profile-likelihood constrained re-optimization",ou_correctness_outputs/baseline_fit_objects.rds$fit_bm,4766.965999999999,Original invocation supplied type = PL; confint.rma.mv ignored that unsupported extra argument. The profile-likelihood calculation itself was unchanged.,"No explicit optimizer convergence code is exposed by confint.rma.mv; outer warnings were captured, while metafor suppresses internal constrained-fit warnings.",FALSE
moura_effect,Effect-size variance,sigma2,2,0.01445013805093366,0.01206790293894048,0.01719465296086666,NA,NA,FALSE,FALSE,TRUE,FALSE,0.01,0.02,1e-6,1000,10,100,"metafor::confint.rma.mv(), profile-likelihood constrained re-optimization",ou_correctness_outputs/baseline_fit_objects.rds$fit_bm,3953.676,NA,"No explicit optimizer convergence code is exposed by confint.rma.mv; outer warnings were captured, while metafor suppresses internal constrained-fit warnings.",FALSE
moura_species_nonphylo,"Species variance, non-phylogenetic",sigma2,3,0.05566175428074647,0.03342038928679086,0.07879496926237362,NA,NA,FALSE,FALSE,TRUE,FALSE,0.02,0.09,1e-6,1000,10,100,"metafor::confint.rma.mv(), profile-likelihood constrained re-optimization",ou_correctness_outputs/baseline_fit_objects.rds$fit_bm,4800.591,NA,"No explicit optimizer convergence code is exposed by confint.rma.mv; outer warnings were captured, while metafor suppresses internal constrained-fit warnings.",FALSE
moura_species_phylo,"Species variance, phylogenetic",sigma2,4,0.05122365947506569,0.01786086320012431,0.179153285018312,NA,NA,FALSE,FALSE,TRUE,FALSE,0.01,0.25,1e-6,1000,10,100,"metafor::confint.rma.mv(), profile-likelihood constrained re-optimization",ou_correctness_outputs/baseline_fit_objects.rds$fit_bm,4765.552,NA,"No explicit optimizer convergence code is exposed by confint.rma.mv; outer warnings were captured, while metafor suppresses internal constrained-fit warnings.",FALSE
global_spatial_only_rho,Spatial-only rho (km),rho,1,0.13693858165850606,0.0136938581658506,0.6748084507391653,<,NA,TRUE,FALSE,FALSE,FALSE,0,10,1e-6,1000,10,100,"metafor::confint.rma.mv(), profile-likelihood constrained re-optimization",reviewer18_influential_effects_outputs/spatial_only.rds,3394.658,NA,"No explicit optimizer convergence code is exposed by confint.rma.mv; outer warnings were captured, while metafor suppresses internal constrained-fit warnings.",FALSE
global_combined_rho,Combined-model rho (km),rho,1,2058.9069472474757,205.89069472474756,20589.06947247476,<,>,TRUE,TRUE,FALSE,FALSE,0,20589.06947247476,1e-6,1000,10,100,"metafor::confint.rma.mv(), profile-likelihood constrained re-optimization",reviewer18_influential_effects_outputs/combined.rds,186.437,NA,"No explicit optimizer convergence code is exposed by confint.rma.mv; outer warnings were captured, while metafor suppresses internal constrained-fit warnings.",FALSE
